country,year,sustainable_index_score,no_poverty_score,zero_hunger_score,good_health_score,quality_education_score,gender_equality_score,clean_water_sanitation_score,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,URL
Malawi,2021,55.9,0.1,61.5,50.0,52.8,69.9,52.5,3.6,0.113,0.168,0.298,0.484,0.213,0.134,https://www.worldometers.info//img/flags/small/tn_mi-flag.gif
Malaysia,2021,70.0,98.8,49.5,80.1,88.0,57.7,76.3,5.384,1.259,0.797,0.587,0.624,0.27,0.064,https://www.worldometers.info//img/flags/small/tn_my-flag.gif
Mali,2021,57.0,41.8,60.2,40.5,10.6,59.6,61.7,4.723,0.387,0.59,0.11,0.384,0.164,0.072,https://www.worldometers.info//img/flags/small/tn_ml-flag.gif
Malta,2021,76.1,99.8,66.3,91.3,99.1,63.9,48.7,6.602,1.411,1.055,0.747,0.664,0.275,0.183,https://www.worldometers.info//img/flags/small/tn_mt-flag.gif
Mauritania,2021,57.2,74.6,45.5,51.0,47.0,38.6,58.2,4.227,0.666,0.749,0.273,0.218,0.119,0.133,https://www.worldometers.info//img/flags/small/tn_mr-flag.gif
Mauritius,2021,68.8,97.6,71.5,75.6,96.0,52.2,71.1,6.049,1.178,0.996,0.574,0.59,0.153,0.096,https://www.worldometers.info//img/flags/small/tn_mp-flag.gif
Mexico,2021,69.4,85.9,61.1,78.0,96.0,80.2,71.0,6.317,1.126,0.83,0.634,0.585,0.092,0.089,https://www.worldometers.info//img/flags/small/tn_mx-flag.gif
Moldova,2021,79.1,98.7,63.0,77.1,99.6,75.5,70.4,5.766,0.985,0.888,0.542,0.536,0.137,0.013,
Mongolia,2021,64.9,93.8,48.8,63.8,94.6,64.7,64.9,5.677,0.966,1.065,0.442,0.397,0.263,0.053,https://www.worldometers.info//img/flags/small/tn_mg-flag.gif
Montenegro,2021,71.2,98.8,51.7,75.8,88.2,56.7,65.2,5.581,1.155,0.891,0.637,0.397,0.166,0.081,https://www.worldometers.info//img/flags/small/tn_mj-flag.gif
Morocco,2021,70.9,89.7,64.6,74.2,78.6,43.4,63.5,4.918,0.792,0.219,0.558,0.477,0.034,0.088,https://www.worldometers.info//img/flags/small/tn_mo-flag.gif
Myanmar,2021,60.4,53.9,65.7,49.7,61.1,57.5,68.5,4.426,0.666,0.713,0.341,0.601,0.52,0.178,https://www.worldometers.info//img/flags/small/tn_bm-flag.gif
Namibia,2021,64.3,59.9,49.8,49.2,83.7,87.5,56.0,4.574,0.882,0.801,0.262,0.411,0.091,0.059,https://www.worldometers.info//img/flags/small/tn_wa-flag.gif
Nepal,2021,66.5,78.2,64.5,58.0,86.9,50.6,70.8,5.269,0.519,0.702,0.496,0.488,0.287,0.135,https://www.worldometers.info//img/flags/small/tn_np-flag.gif
Netherlands,2021,79.4,99.2,67.7,95.5,99.3,85.2,87.2,7.464,1.501,1.079,0.753,0.647,0.302,0.384,
Nicaragua,2021,64.8,69.6,54.8,74.3,78.0,83.7,66.3,5.972,0.693,0.904,0.604,0.553,0.201,0.176,https://www.worldometers.info//img/flags/small/tn_nu-flag.gif
