country,year,sustainable_index_score,no_poverty_score,zero_hunger_score,good_health_score,quality_education_score,gender_equality_score,clean_water_sanitation_score,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,URL
Croatia,2018,80.2,100.0,74.3,86.0,96.7,63.0,86.4,5.321,1.115,1.161,0.737,0.38,0.12,0.039,https://www.worldometers.info//img/flags/small/tn_hr-flag.gif
Denmark,2018,84.3,99.3,68.3,95.1,98.3,85.7,89.6,7.555,1.351,1.59,0.868,0.683,0.284,0.408,https://www.worldometers.info//img/flags/small/tn_da-flag.gif
Dominican Republic,2018,71.0,94.9,75.1,65.7,88.4,71.4,67.4,5.302,0.982,1.441,0.614,0.578,0.12,0.106,
Ecuador,2018,71.4,88.3,59.6,79.3,95.9,78.2,74.6,5.973,0.889,1.33,0.736,0.556,0.114,0.12,https://www.worldometers.info//img/flags/small/tn_ec-flag.gif
El Salvador,2018,69.6,91.5,55.0,78.9,83.8,67.0,72.5,6.167,0.806,1.231,0.639,0.461,0.065,0.082,https://www.worldometers.info//img/flags/small/tn_es-flag.gif
Estonia,2018,79.7,100.0,61.5,87.2,96.0,76.0,82.9,5.739,1.2,1.532,0.737,0.553,0.086,0.174,https://www.worldometers.info//img/flags/small/tn_en-flag.gif
Ethiopia,2018,52.5,32.6,52.3,43.9,34.1,57.3,37.7,4.35,0.308,0.95,0.391,0.452,0.22,0.146,https://www.worldometers.info//img/flags/small/tn_et-flag.gif
Finland,2018,85.6,99.5,61.4,95.2,97.5,89.3,94.3,7.632,1.305,1.592,0.874,0.681,0.202,0.393,https://www.worldometers.info//img/flags/small/tn_fi-flag.gif
France,2018,80.9,99.7,72.1,92.9,99.6,87.2,89.3,6.489,1.293,1.466,0.908,0.52,0.098,0.176,https://www.worldometers.info//img/flags/small/tn_fr-flag.gif
Gabon,2018,61.9,89.8,51.2,48.0,60.4,45.7,61.1,4.758,1.036,1.164,0.404,0.356,0.032,0.052,https://www.worldometers.info//img/flags/small/tn_gb-flag.gif
Georgia,2018,73.8,82.1,54.7,74.7,99.2,60.0,80.3,4.34,0.853,0.592,0.643,0.375,0.038,0.215,https://www.worldometers.info//img/flags/small/tn_gg-flag.gif
Germany,2018,82.3,99.5,70.9,93.3,98.5,79.5,88.4,6.965,1.34,1.474,0.861,0.586,0.273,0.28,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif
Ghana,2018,61.1,50.7,68.3,52.0,84.4,53.2,56.5,4.657,0.592,0.896,0.337,0.499,0.212,0.029,https://www.worldometers.info//img/flags/small/tn_gh-flag.gif
Greece,2018,77.0,100.0,65.8,89.2,95.1,62.6,87.6,5.358,1.154,1.202,0.879,0.131,0.0,0.044,https://www.worldometers.info//img/flags/small/tn_gr-flag.gif
Guatemala,2018,58.8,73.3,42.9,69.0,72.8,46.9,68.7,6.382,0.781,1.268,0.608,0.604,0.179,0.071,https://www.worldometers.info//img/flags/small/tn_gt-flag.gif
Guinea,2018,53.1,49.1,57.1,30.7,28.4,31.4,51.1,3.964,0.344,0.792,0.211,0.394,0.185,0.094,https://www.worldometers.info//img/flags/small/tn_gv-flag.gif
Honduras,2018,62.5,65.4,54.4,68.8,65.3,65.4,71.7,5.504,0.62,1.205,0.622,0.459,0.197,0.074,https://www.worldometers.info//img/flags/small/tn_ho-flag.gif
Hungary,2018,78.9,98.8,71.0,82.7,89.8,64.5,86.6,5.62,1.171,1.401,0.732,0.259,0.061,0.022,https://www.worldometers.info//img/flags/small/tn_hu-flag.gif
Iceland,2018,77.5,99.8,52.4,95.4,97.3,87.1,59.8,7.495,1.343,1.644,0.914,0.677,0.353,0.138,https://www.worldometers.info//img/flags/small/tn_ic-flag.gif
India,2018,60.9,78.9,54.0,62.3,80.6,42.0,56.5,4.19,0.721,0.747,0.485,0.539,0.172,0.093,https://www.worldometers.info//img/flags/small/tn_in-flag.gif
Indonesia,2018,68.1,79.7,66.2,65.7,92.2,62.2,68.4,5.093,0.899,1.215,0.522,0.538,0.484,0.018,https://www.worldometers.info//img/flags/small/tn_id-flag.gif
Ireland,2018,78.8,99.9,67.4,94.4,99.1,76.3,82.9,6.977,1.448,1.583,0.876,0.614,0.307,0.306,https://www.worldometers.info//img/flags/small/tn_ei-flag.gif
Israel,2018,73.1,98.6,53.2,94.8,99.6,74.8,69.1,6.814,1.301,1.559,0.883,0.533,0.354,0.272,https://www.worldometers.info//img/flags/small/tn_is-flag.gif
Italy,2018,77.9,97.5,69.4,93.8,95.4,73.1,80.8,6.0,1.264,1.501,0.946,0.281,0.137,0.028,https://www.worldometers.info//img/flags/small/tn_it-flag.gif
Jamaica,2018,69.1,91.1,58.7,78.2,81.3,71.8,70.0,5.89,0.819,1.493,0.693,0.575,0.096,0.031,https://www.worldometers.info//img/flags/small/tn_jm-flag.gif
Japan,2018,78.5,99.3,74.6,93.8,94.0,60.3,84.9,5.915,1.294,1.462,0.988,0.553,0.079,0.15,https://www.worldometers.info//img/flags/small/tn_ja-flag.gif
Jordan,2018,69.1,98.7,55.7,76.5,55.1,42.1,55.3,5.161,0.822,1.265,0.645,0.468,0.13,0.134,https://www.worldometers.info//img/flags/small/tn_jo-flag.gif
Kazakhstan,2018,71.3,98.5,53.6,79.1,96.0,76.4,72.4,5.79,1.143,1.516,0.631,0.454,0.148,0.121,https://www.worldometers.info//img/flags/small/tn_kz-flag.gif
Kenya,2018,60.2,45.6,57.0,50.3,70.6,69.4,46.2,4.41,0.493,1.048,0.454,0.504,0.352,0.055,https://www.worldometers.info//img/flags/small/tn_ke-flag.gif
Latvia,2018,79.7,100.0,62.6,83.0,98.2,78.4,89.1,5.933,1.148,1.454,0.671,0.363,0.092,0.066,https://www.worldometers.info//img/flags/small/tn_lg-flag.gif
Lebanon,2018,68.5,99.0,54.8,78.7,99.5,44.0,65.9,5.358,0.965,1.179,0.785,0.503,0.214,0.136,https://www.worldometers.info//img/flags/small/tn_le-flag.gif
Liberia,2018,49.6,28.1,46.3,30.7,42.9,41.5,52.6,3.495,0.076,0.858,0.267,0.419,0.206,0.03,https://www.worldometers.info//img/flags/small/tn_li-flag.gif
Lithuania,2018,75.1,100.0,58.1,84.3,98.6,71.3,78.8,5.952,1.197,1.527,0.716,0.35,0.026,0.006,https://www.worldometers.info//img/flags/small/tn_lh-flag.gif
Luxembourg,2018,76.6,99.6,59.6,95.5,98.9,73.8,81.6,6.91,1.576,1.52,0.896,0.632,0.196,0.321,https://www.worldometers.info//img/flags/small/tn_lu-flag.gif
Madagascar,2018,49.9,3.6,53.1,34.0,55.4,68.3,44.1,3.774,0.262,0.908,0.402,0.221,0.155,0.049,https://www.worldometers.info//img/flags/small/tn_ma-flag.gif
Malawi,2018,53.0,1.4,60.3,46.2,51.8,65.3,51.8,3.587,0.186,0.541,0.306,0.531,0.21,0.08,https://www.worldometers.info//img/flags/small/tn_mi-flag.gif
Malaysia,2018,68.5,98.8,48.3,79.1,90.1,56.2,76.3,6.322,1.161,1.258,0.669,0.356,0.311,0.059,https://www.worldometers.info//img/flags/small/tn_my-flag.gif
Mali,2018,56.5,41.6,62.4,39.1,12.4,52.3,59.9,4.447,0.37,1.233,0.152,0.367,0.139,0.056,https://www.worldometers.info//img/flags/small/tn_ml-flag.gif
Malta,2018,75.2,99.9,66.3,92.6,98.9,60.9,47.8,6.627,1.27,1.525,0.884,0.645,0.376,0.142,https://www.worldometers.info//img/flags/small/tn_mt-flag.gif
Mauritania,2018,55.5,73.7,43.2,52.0,40.2,40.1,57.7,4.356,0.557,1.245,0.292,0.129,0.134,0.093,https://www.worldometers.info//img/flags/small/tn_mr-flag.gif
Mauritius,2018,68.0,98.0,67.9,78.3,90.9,47.2,71.1,5.891,1.09,1.387,0.684,0.584,0.245,0.05,https://www.worldometers.info//img/flags/small/tn_mp-flag.gif
Mexico,2018,69.1,88.6,60.8,79.7,96.4,78.4,70.6,6.488,1.038,1.252,0.761,0.479,0.069,0.095,https://www.worldometers.info//img/flags/small/tn_mx-flag.gif
Moldova,2018,77.1,98.6,59.6,76.6,99.3,68.5,69.9,5.64,0.657,1.301,0.62,0.232,0.171,0.0,
Mongolia,2018,65.0,94.1,47.6,63.2,96.7,64.8,63.7,5.125,0.914,1.517,0.575,0.395,0.253,0.032,https://www.worldometers.info//img/flags/small/tn_mg-flag.gif
Montenegro,2018,69.8,98.8,51.7,75.4,87.4,55.1,64.8,5.347,1.017,1.279,0.729,0.259,0.111,0.081,https://www.worldometers.info//img/flags/small/tn_mj-flag.gif
Morocco,2018,69.4,93.5,64.6,72.5,68.9,43.1,62.2,5.254,0.779,0.797,0.669,0.46,0.026,0.074,https://www.worldometers.info//img/flags/small/tn_mo-flag.gif
Myanmar,2018,62.1,77.2,65.5,54.3,56.3,56.7,66.9,4.308,0.682,1.174,0.429,0.58,0.598,0.178,https://www.worldometers.info//img/flags/small/tn_bm-flag.gif
Namibia,2018,64.0,62.5,48.7,45.4,80.5,88.4,55.7,4.441,0.874,1.281,0.365,0.519,0.051,0.064,https://www.worldometers.info//img/flags/small/tn_wa-flag.gif
Nepal,2018,65.3,72.4,65.3,54.7,88.6,47.5,68.9,4.88,0.425,1.228,0.539,0.526,0.302,0.078,https://www.worldometers.info//img/flags/small/tn_np-flag.gif
Netherlands,2018,78.8,99.3,67.7,95.5,99.2,82.8,87.3,7.441,1.361,1.488,0.878,0.638,0.333,0.295,
Nicaragua,2018,63.7,68.5,54.8,74.9,78.0,81.6,66.3,6.141,0.668,1.319,0.7,0.527,0.208,0.128,https://www.worldometers.info//img/flags/small/tn_nu-flag.gif
Niger,2018,46.2,11.9,43.2,37.2,3.5,40.3,42.9,4.166,0.131,0.867,0.221,0.39,0.175,0.099,
Nigeria,2018,53.2,42.3,61.3,34.2,38.8,40.1,58.1,5.155,0.689,1.172,0.048,0.462,0.201,0.032,https://www.worldometers.info//img/flags/small/tn_ni-flag.gif
North Macedonia,2018,73.0,95.1,64.5,76.4,75.0,56.3,71.6,5.185,0.959,1.239,0.691,0.394,0.173,0.052,
Norway,2018,81.5,99.2,58.0,96.8,97.5,88.8,83.7,7.594,1.456,1.582,0.861,0.686,0.286,0.34,https://www.worldometers.info//img/flags/small/tn_no-flag.gif
Pakistan,2018,58.1,73.9,42.6,44.7,58.8,32.4,48.5,5.472,0.652,0.81,0.424,0.334,0.216,0.113,https://www.worldometers.info//img/flags/small/tn_pk-flag.gif
Panama,2018,66.3,93.9,49.1,80.1,76.0,62.7,70.5,6.43,1.112,1.438,0.759,0.597,0.125,0.063,https://www.worldometers.info//img/flags/small/tn_pm-flag.gif
Paraguay,2018,67.5,93.0,74.4,73.1,72.8,66.3,76.1,5.681,0.835,1.522,0.615,0.541,0.162,0.074,https://www.worldometers.info//img/flags/small/tn_pa-flag.gif
Peru,2018,71.2,84.9,70.7,81.0,97.9,68.2,77.3,5.663,0.934,1.249,0.674,0.53,0.092,0.034,https://www.worldometers.info//img/flags/small/tn_pe-flag.gif
Philippines,2018,66.7,77.8,67.9,59.8,85.7,64.2,69.0,5.524,0.775,1.312,0.513,0.643,0.12,0.105,
Poland,2018,80.2,98.8,65.3,85.3,97.0,71.7,83.8,6.123,1.176,1.448,0.781,0.546,0.108,0.064,https://www.worldometers.info//img/flags/small/tn_pl-flag.gif
Portugal,2018,78.5,99.8,63.2,91.5,95.8,80.5,80.3,5.41,1.188,1.429,0.884,0.562,0.055,0.017,https://www.worldometers.info//img/flags/small/tn_po-flag.gif
Romania,2018,76.3,98.1,74.3,79.5,82.5,57.0,75.9,5.945,1.116,1.219,0.726,0.528,0.088,0.001,https://www.worldometers.info//img/flags/small/tn_ro-flag.gif
Saudi Arabia,2018,63.7,100.0,58.1,76.0,77.8,41.5,59.1,6.371,1.379,1.331,0.633,0.509,0.098,0.127,https://www.worldometers.info//img/flags/small/tn_sa-flag.gif
Senegal,2018,59.6,59.5,61.2,56.2,29.6,43.9,63.6,4.631,0.429,1.117,0.433,0.406,0.138,0.082,https://www.worldometers.info//img/flags/small/tn_sg-flag.gif
Serbia,2018,76.7,100.0,75.1,82.6,96.1,62.0,74.8,5.398,0.975,1.369,0.685,0.288,0.134,0.043,https://www.worldometers.info//img/flags/small/tn_ri-flag.gif
Sierra Leone,2018,54.0,31.7,53.3,35.4,46.5,43.4,48.2,4.571,0.256,0.813,0.0,0.355,0.238,0.053,https://www.worldometers.info//img/flags/small/tn_sl-flag.gif
Slovenia,2018,79.3,99.3,65.2,92.0,96.2,74.9,87.8,5.948,1.219,1.506,0.856,0.633,0.16,0.051,https://www.worldometers.info//img/flags/small/tn_si-flag.gif
South Africa,2018,62.5,52.1,56.4,52.1,75.2,78.2,61.8,4.724,0.94,1.41,0.33,0.516,0.103,0.056,https://www.worldometers.info//img/flags/small/tn_sf-flag.gif
Spain,2018,78.9,98.8,65.4,94.6,95.6,83.4,87.4,6.31,1.251,1.538,0.965,0.449,0.142,0.074,https://www.worldometers.info//img/flags/small/tn_sp-flag.gif
Sri Lanka,2018,69.7,89.4,67.2,79.2,97.4,52.3,50.2,4.471,0.918,1.314,0.672,0.585,0.307,0.05,https://www.worldometers.info//img/flags/small/tn_ce-flag.gif
Sweden,2018,85.3,98.6,60.3,96.4,99.8,91.0,95.1,7.314,1.355,1.501,0.913,0.659,0.285,0.383,https://www.worldometers.info//img/flags/small/tn_sw-flag.gif
Switzerland,2018,80.3,99.5,69.4,96.8,97.9,80.1,90.5,7.487,1.42,1.549,0.927,0.66,0.256,0.357,https://www.worldometers.info//img/flags/small/tn_sz-flag.gif
Tajikistan,2018,68.7,71.4,63.6,66.2,73.5,53.5,60.2,5.199,0.474,1.166,0.598,0.292,0.187,0.034,https://www.worldometers.info//img/flags/small/tn_ti-flag.gif
Tanzania,2018,56.5,24.7,60.4,44.4,45.3,70.7,50.6,3.303,0.455,0.991,0.381,0.481,0.27,0.097,
Thailand,2018,73.2,98.3,60.7,78.9,96.4,64.7,75.8,6.072,1.016,1.417,0.707,0.637,0.364,0.029,https://www.worldometers.info//img/flags/small/tn_th-flag.gif
Togo,2018,54.7,29.0,59.8,43.4,72.8,40.8,50.3,3.999,0.259,0.474,0.253,0.434,0.158,0.101,https://www.worldometers.info//img/flags/small/tn_to-flag.gif
Tunisia,2018,71.9,97.9,61.3,78.7,87.8,52.7,63.1,4.592,0.9,0.906,0.69,0.271,0.04,0.063,https://www.worldometers.info//img/flags/small/tn_ts-flag.gif
Uganda,2018,53.3,23.1,66.3,46.9,40.2,63.9,46.3,4.161,0.322,1.09,0.237,0.45,0.259,0.061,https://www.worldometers.info//img/flags/small/tn_ug-flag.gif
United Kingdom,2018,80.9,99.0,68.1,93.7,99.5,82.0,94.4,7.19,1.244,1.433,0.888,0.464,0.262,0.082,https://www.worldometers.info//img/flags/small/tn_uk-flag.gif
United States,2018,74.4,98.7,68.7,88.9,94.4,74.3,83.6,6.886,1.398,1.471,0.819,0.547,0.291,0.133,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Uruguay,2018,76.2,98.6,64.5,83.7,91.4,73.4,75.7,6.379,1.093,1.459,0.771,0.625,0.13,0.155,https://www.worldometers.info//img/flags/small/tn_uy-flag.gif
Uzbekistan,2018,68.3,55.0,66.1,76.4,74.0,76.2,58.8,6.096,0.719,1.584,0.605,0.724,0.328,0.259,https://www.worldometers.info//img/flags/small/tn_uz-flag.gif
Vietnam,2018,71.3,94.5,71.7,66.6,97.5,71.1,73.1,5.103,0.715,1.365,0.702,0.618,0.177,0.079,https://www.worldometers.info//img/flags/small/tn_vi-flag.gif
Zambia,2018,53.4,10.7,57.9,41.8,66.1,66.3,52.2,4.377,0.562,1.047,0.295,0.503,0.221,0.082,https://www.worldometers.info//img/flags/small/tn_za-flag.gif
Zimbabwe,2018,55.9,26.4,46.6,39.8,57.9,76.7,51.6,3.692,0.357,1.094,0.248,0.406,0.132,0.099,https://www.worldometers.info//img/flags/small/tn_zi-flag.gif
