country,year,sustainable_index_score,no_poverty_score,zero_hunger_score,good_health_score,quality_education_score,gender_equality_score,clean_water_sanitation_score,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,URL
Afghanistan,2018,46.3,29.1,47.8,36.9,40.2,29.0,47.9,3.632,0.332,0.537,0.255,0.085,0.191,0.036,https://www.worldometers.info//img/flags/small/tn_af-flag.gif
Albania,2018,73.5,97.4,57.6,82.5,96.1,56.1,73.5,4.586,0.916,0.817,0.79,0.419,0.149,0.032,https://www.worldometers.info//img/flags/small/tn_al-flag.gif
Algeria,2018,71.7,97.4,57.1,75.8,88.1,49.4,58.0,5.295,0.979,1.154,0.687,0.077,0.055,0.135,https://www.worldometers.info//img/flags/small/tn_ag-flag.gif
Argentina,2018,73.0,96.8,68.1,80.8,95.9,78.7,77.9,6.388,1.073,1.468,0.744,0.57,0.062,0.054,https://www.worldometers.info//img/flags/small/tn_ar-flag.gif
Armenia,2018,71.1,91.0,54.1,75.3,74.0,59.2,66.3,4.321,0.816,0.99,0.666,0.26,0.077,0.028,https://www.worldometers.info//img/flags/small/tn_am-flag.gif
Australia,2018,75.1,99.3,57.5,95.5,92.6,79.9,93.9,7.272,1.34,1.573,0.91,0.647,0.361,0.302,https://www.worldometers.info//img/flags/small/tn_as-flag.gif
Austria,2018,82.6,99.4,71.5,92.7,98.8,81.0,92.2,7.139,1.341,1.504,0.891,0.617,0.242,0.224,https://www.worldometers.info//img/flags/small/tn_au-flag.gif
Bangladesh,2018,63.0,67.0,70.3,59.9,68.5,51.7,66.6,4.5,0.532,0.85,0.579,0.58,0.153,0.144,https://www.worldometers.info//img/flags/small/tn_bg-flag.gif
Belgium,2018,78.2,99.5,71.2,93.2,95.6,85.1,70.6,6.927,1.324,1.483,0.894,0.583,0.188,0.24,https://www.worldometers.info//img/flags/small/tn_be-flag.gif
Benin,2018,53.9,46.0,64.7,43.2,58.3,32.8,49.1,4.141,0.378,0.372,0.24,0.44,0.163,0.067,https://www.worldometers.info//img/flags/small/tn_bn-flag.gif
Bolivia,2018,68.8,89.0,64.5,66.6,87.1,73.7,67.9,5.752,0.751,1.223,0.508,0.606,0.141,0.054,
Bosnia and Herzegovina,2018,72.4,99.8,65.9,76.5,64.1,41.2,73.3,5.129,0.915,1.078,0.758,0.28,0.216,0.0,https://www.worldometers.info//img/flags/small/tn_bk-flag.gif
Botswana,2018,61.0,61.0,44.0,48.6,65.8,68.1,67.5,3.59,1.017,1.174,0.417,0.557,0.042,0.092,https://www.worldometers.info//img/flags/small/tn_bc-flag.gif
Brazil,2018,72.0,84.3,70.9,79.1,85.5,70.2,85.5,6.419,0.986,1.474,0.675,0.493,0.11,0.088,https://www.worldometers.info//img/flags/small/tn_br-flag.gif
Bulgaria,2018,73.8,100.0,67.4,78.5,79.1,70.1,66.3,4.933,1.054,1.515,0.712,0.359,0.064,0.009,https://www.worldometers.info//img/flags/small/tn_bu-flag.gif
Burkina Faso,2018,51.1,24.6,61.1,45.3,27.7,41.5,45.1,4.424,0.314,1.097,0.254,0.312,0.175,0.128,https://www.worldometers.info//img/flags/small/tn_uv-flag.gif
Cameroon,2018,54.2,47.1,60.6,38.3,43.4,54.1,55.6,4.975,0.535,0.891,0.182,0.454,0.183,0.043,https://www.worldometers.info//img/flags/small/tn_cm-flag.gif
Canada,2018,77.7,99.6,65.1,94.2,98.5,82.1,86.1,7.328,1.33,1.532,0.896,0.653,0.321,0.291,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Chad,2018,42.1,26.8,34.1,23.1,11.1,22.7,42.1,4.301,0.358,0.907,0.053,0.189,0.181,0.06,https://www.worldometers.info//img/flags/small/tn_cd-flag.gif
Chile,2018,77.4,100.0,72.4,88.0,93.7,70.5,89.4,6.476,1.131,1.331,0.808,0.431,0.197,0.061,https://www.worldometers.info//img/flags/small/tn_ci-flag.gif
China,2018,70.8,95.2,82.8,80.9,99.5,77.8,68.0,5.246,0.989,1.142,0.799,0.597,0.029,0.103,https://www.worldometers.info//img/flags/small/tn_ch-flag.gif
Colombia,2018,70.1,84.9,64.8,82.5,90.5,70.3,78.9,6.26,0.96,1.439,0.635,0.531,0.099,0.039,https://www.worldometers.info//img/flags/small/tn_co-flag.gif
Costa Rica,2018,72.5,94.7,54.1,87.8,89.4,80.4,74.5,7.072,1.01,1.459,0.817,0.632,0.143,0.101,https://www.worldometers.info//img/flags/small/tn_cs-flag.gif
