country,year,sustainable_index_score,no_poverty_score,zero_hunger_score,good_health_score,quality_education_score,gender_equality_score,clean_water_sanitation_score,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,URL
Afghanistan,2020,47.3,27.9,46.0,37.6,42.0,30.2,50.4,2.566900015,0.30070585,0.356433839,0.266051531,0.0,0.135234714,0.001225785,https://www.worldometers.info//img/flags/small/tn_af-flag.gif
Albania,2020,73.7,98.4,59.0,82.7,94.3,57.3,73.7,4.882699966,0.906653047,0.830483913,0.846329629,0.461945891,0.171027765,0.025361285,https://www.worldometers.info//img/flags/small/tn_al-flag.gif
Algeria,2020,71.3,97.1,57.6,77.0,77.0,49.8,58.0,5.005099773,0.943856001,1.143003583,0.745418549,0.083943799,0.118915014,0.129190654,https://www.worldometers.info//img/flags/small/tn_ag-flag.gif
Argentina,2020,72.7,95.9,68.9,80.0,97.9,80.0,77.9,5.974699974,1.028465629,1.372543693,0.849773705,0.520840347,0.070100471,0.060415059,https://www.worldometers.info//img/flags/small/tn_ar-flag.gif
Armenia,2020,74.1,94.4,53.0,76.8,77.0,63.4,65.6,4.676799774,0.808262408,1.034576893,0.77585727,0.378075808,0.107225738,0.104618184,https://www.worldometers.info//img/flags/small/tn_am-flag.gif
Australia,2020,75.4,99.3,56.7,95.4,89.6,81.1,93.9,7.222799778,1.310396433,1.477146268,1.022607684,0.621877193,0.324973613,0.335996419,https://www.worldometers.info//img/flags/small/tn_as-flag.gif
Austria,2020,83.1,99.4,73.1,92.8,97.9,84.0,92.2,7.294199944,1.317285538,1.437444925,1.000933528,0.603368878,0.255509764,0.281256139,https://www.worldometers.info//img/flags/small/tn_au-flag.gif
Bangladesh,2020,63.9,69.8,70.1,63.4,69.0,54.1,67.3,4.832799911,0.556156278,0.868800581,0.694940507,0.604130566,0.176745117,0.176735908,https://www.worldometers.info//img/flags/small/tn_bg-flag.gif
Belgium,2020,79.4,99.4,71.2,93.2,95.3,87.2,70.6,6.863500118,1.295842767,1.398677588,0.964901149,0.499805421,0.146966159,0.208724052,https://www.worldometers.info//img/flags/small/tn_be-flag.gif
Benin,2020,54.4,47.1,65.1,41.7,52.3,33.6,49.4,5.21600008,0.366244704,0.352428436,0.328062952,0.40583989,0.196670428,0.125931874,https://www.worldometers.info//img/flags/small/tn_bn-flag.gif
Bolivia,2020,68.7,90.0,63.7,66.0,91.2,69.5,69.1,5.747499943,0.730976343,1.142350554,0.662445664,0.5744645,0.138375074,0.072942637,
Bosnia and Herzegovina,2020,73.4,99.8,67.2,76.1,64.1,46.1,73.2,5.674099922,0.91839546,1.203986526,0.813928187,0.305365741,0.264005244,0.001172487,https://www.worldometers.info//img/flags/small/tn_bk-flag.gif
Botswana,2020,62.2,62.0,44.9,49.9,65.8,69.0,68.1,3.478899956,0.997548997,1.08569479,0.494101733,0.50908941,0.033407487,0.101786368,https://www.worldometers.info//img/flags/small/tn_bc-flag.gif
Brazil,2020,72.9,92.6,70.1,78.4,85.8,69.2,86.1,6.375599861,0.952679873,1.363464117,0.766119063,0.483292729,0.131674588,0.106518604,https://www.worldometers.info//img/flags/small/tn_br-flag.gif
Bulgaria,2020,74.7,100.0,65.2,79.4,79.4,72.0,66.3,5.101500034,1.046554685,1.460578918,0.777776897,0.417820066,0.103833713,0.0,https://www.worldometers.info//img/flags/small/tn_bu-flag.gif
Burkina Faso,2020,51.4,24.3,60.3,46.4,25.1,40.4,44.8,4.768700123,0.302467644,0.9293859,0.312833875,0.322398156,0.186390609,0.126408055,https://www.worldometers.info//img/flags/small/tn_uv-flag.gif
Cameroon,2020,54.7,46.9,61.0,40.2,48.2,55.8,56.0,5.084899902,0.503958046,0.89972645,0.270189553,0.439242482,0.198020101,0.054393422,https://www.worldometers.info//img/flags/small/tn_cm-flag.gif
Canada,2020,78.4,99.6,65.4,94.0,99.4,82.7,86.1,7.23210001,1.301647663,1.435391903,1.022501945,0.644028127,0.28152892,0.351701856,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Chad,2020,42.7,25.3,37.2,25.6,10.8,22.1,42.4,4.422699928,0.302287489,0.739118278,0.1087441,0.228601769,0.210805088,0.085755408,https://www.worldometers.info//img/flags/small/tn_cd-flag.gif
Chile,2020,77.4,94.1,71.1,87.9,97.7,70.0,89.4,6.228499889,1.096992493,1.323286891,0.889260828,0.417482227,0.155579001,0.06284935,https://www.worldometers.info//img/flags/small/tn_ci-flag.gif
China,2020,71.6,96.5,83.3,83.1,99.5,78.0,69.0,5.123899937,0.990533412,1.132080674,0.867248535,0.601605117,0.079021044,0.117255554,https://www.worldometers.info//img/flags/small/tn_ch-flag.gif
Colombia,2020,69.4,72.5,65.0,82.6,92.4,69.0,79.4,6.163400173,0.93220371,1.33445096,0.810020149,0.526890039,0.092374094,0.04584837,https://www.worldometers.info//img/flags/small/tn_co-flag.gif
Costa Rica,2020,72.3,92.8,53.5,87.6,89.7,81.3,74.5,7.121399879,0.981107712,1.374853611,0.939635336,0.645017743,0.131266311,0.096362092,https://www.worldometers.info//img/flags/small/tn_cs-flag.gif
Croatia,2020,81.6,100.0,74.2,88.1,95.6,69.5,86.4,5.504700184,1.109024286,1.311264873,0.900575578,0.381456882,0.113998979,0.012325006,https://www.worldometers.info//img/flags/small/tn_hr-flag.gif
Denmark,2020,85.1,99.2,72.1,95.3,99.3,86.8,90.7,7.645599842,1.326948524,1.503449202,0.979332566,0.665039897,0.242793396,0.495260328,https://www.worldometers.info//img/flags/small/tn_da-flag.gif
Dominican Republic,2020,72.8,94.6,75.3,65.8,92.2,70.5,67.6,5.689199924,0.983191848,1.328888893,0.741901696,0.5628739,0.112196781,0.115945682,
Ecuador,2020,70.2,81.1,56.8,78.1,92.4,78.6,75.3,5.925199986,0.853383601,1.221027613,0.838837743,0.555234551,0.115006477,0.086753383,https://www.worldometers.info//img/flags/small/tn_ec-flag.gif
El Salvador,2020,70.0,91.0,56.0,77.5,81.6,67.9,72.6,6.34829998,0.748940408,1.149397612,0.752730012,0.524043918,0.1189363,0.117030352,https://www.worldometers.info//img/flags/small/tn_es-flag.gif
Estonia,2020,81.1,100.0,64.8,89.9,96.0,77.3,84.1,6.021800041,1.192441225,1.453232527,0.842615008,0.576664805,0.125136748,0.201766819,https://www.worldometers.info//img/flags/small/tn_en-flag.gif
Ethiopia,2020,53.7,38.6,53.5,48.3,34.1,57.5,38.7,4.186200142,0.315125644,1.001103282,0.483846247,0.41256687,0.227698103,0.117437035,https://www.worldometers.info//img/flags/small/tn_et-flag.gif
