country,year,sustainable_index_score,no_poverty_score,zero_hunger_score,good_health_score,quality_education_score,gender_equality_score,clean_water_sanitation_score,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,URL
Afghanistan,2023,49.00560144,12.4105,46.91514286,37.48671429,34.366,32.92625,50.426,1.859,0.645,0.0,0.087,0.0,0.093,0.059,https://www.worldometers.info//img/flags/small/tn_af-flag.gif
Albania,2023,73.50609736,98.6285,59.25185714,81.91864286,86.8065,60.8485,73.7458,5.277,1.449,0.951,0.48,0.549,0.133,0.037,https://www.worldometers.info//img/flags/small/tn_al-flag.gif
Algeria,2023,70.83361592,97.673,57.56114286,77.34692857,70.05425,41.0435,58.0126,5.329,1.353,1.298,0.409,0.252,0.073,0.152,https://www.worldometers.info//img/flags/small/tn_ag-flag.gif
Argentina,2023,73.68521877,96.826,68.66925,81.01092857,97.85,82.61125,77.9412,6.024,1.59,1.388,0.427,0.587,0.088,0.082,https://www.worldometers.info//img/flags/small/tn_ar-flag.gif
Armenia,2023,73.25805222,96.2985,53.63628571,76.96661538,66.6645,68.44375,65.6224,5.342,1.466,1.134,0.443,0.551,0.053,0.16,https://www.worldometers.info//img/flags/small/tn_am-flag.gif
Australia,2023,75.90411851,99.3485,58.37025,95.21628571,89.56833333,82.0105,93.8984,7.095,1.899,1.497,0.532,0.677,0.242,0.31,https://www.worldometers.info//img/flags/small/tn_as-flag.gif
Austria,2023,82.28018933,99.451,73.0675,92.468,97.91433333,84.57925,92.1636,7.097,1.927,1.382,0.535,0.63,0.191,0.31,https://www.worldometers.info//img/flags/small/tn_au-flag.gif
Bangladesh,2023,65.91095145,79.1025,70.8125,60.49792857,89.706,54.491,67.331,4.282,1.133,0.513,0.355,0.617,0.139,0.165,https://www.worldometers.info//img/flags/small/tn_bg-flag.gif
Belgium,2023,79.45505844,99.453,71.22025,93.39183333,95.31666667,87.83575,70.5962,6.859,1.907,1.449,0.528,0.59,0.137,0.273,https://www.worldometers.info//img/flags/small/tn_be-flag.gif
Benin,2023,55.1176285,57.2005,65.352625,41.99057143,57.28,34.1985,49.4148,4.374,0.924,0.242,0.124,0.481,0.114,0.253,https://www.worldometers.info//img/flags/small/tn_bn-flag.gif
Bolivia,2023,68.85065457,91.735,64.8735,66.80057143,90.641,69.546,69.0738,5.684,1.24,1.187,0.329,0.648,0.103,0.06,
Bosnia and Herzegovina,2023,74.01986096,99.863,63.80314286,76.87830769,64.14333333,47.127,73.244,5.633,1.467,1.361,0.429,0.485,0.247,0.008,https://www.worldometers.info//img/flags/small/tn_bk-flag.gif
Botswana,2023,62.73762598,64.81,45.07875,51.27378571,65.81225,69.3605,68.1444,3.435,1.471,1.041,0.087,0.48,0.021,0.071,https://www.worldometers.info//img/flags/small/tn_bc-flag.gif
Brazil,2023,73.68939304,93.3005,68.7175,77.65214286,85.9325,70.368,86.0712,6.125,1.454,1.25,0.387,0.558,0.131,0.137,https://www.worldometers.info//img/flags/small/tn_br-flag.gif
Bulgaria,2023,74.62004755,99.9835,68.189625,79.283,79.548,71.6325,66.293,5.466,1.635,1.457,0.408,0.557,0.106,0.013,https://www.worldometers.info//img/flags/small/tn_bu-flag.gif
Burkina Faso,2023,52.44550392,26.894,58.639125,46.63228571,26.67975,40.677,44.838,4.638,0.768,0.814,0.107,0.419,0.188,0.113,https://www.worldometers.info//img/flags/small/tn_uv-flag.gif
Cameroon,2023,55.14965887,50.573,61.30457143,39.82707143,49.24775,56.03025,55.969,4.973,0.965,0.871,0.118,0.405,0.144,0.059,https://www.worldometers.info//img/flags/small/tn_cm-flag.gif
Canada,2023,78.49677968,99.6005,63.535,93.87384615,99.39966667,83.909,86.1186,6.961,1.881,1.484,0.541,0.656,0.218,0.364,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Chad,2023,45.34232094,25.427,38.53471429,27.06107143,13.30775,30.8355,42.4036,4.397,0.622,0.962,0.043,0.393,0.255,0.088,https://www.worldometers.info//img/flags/small/tn_cd-flag.gif
Chile,2023,78.22377122,96.352,71.542875,88.39514286,97.76625,77.73075,89.3798,6.334,1.645,1.384,0.511,0.546,0.131,0.076,https://www.worldometers.info//img/flags/small/tn_ci-flag.gif
China,2023,72.00816749,98.052,83.401125,83.39846154,99.531,78.1855,68.9986,5.818,1.51,1.249,0.468,0.666,0.115,0.145,https://www.worldometers.info//img/flags/small/tn_ch-flag.gif
Colombia,2023,70.05009086,77.714,65.248125,82.66221429,92.3275,69.4005,79.384,5.63,1.455,1.213,0.486,0.562,0.08,0.068,https://www.worldometers.info//img/flags/small/tn_co-flag.gif
Costa Rica,2023,73.55689326,93.773,53.907375,88.28771429,99.1685,82.03675,74.5466,6.609,1.587,1.34,0.503,0.683,0.099,0.116,https://www.worldometers.info//img/flags/small/tn_cs-flag.gif
Croatia,2023,81.49550882,99.9905,74.26,86.35785714,95.655,71.105,86.357,6.125,1.727,1.455,0.475,0.5,0.087,0.003,https://www.worldometers.info//img/flags/small/tn_hr-flag.gif
Denmark,2023,85.68363681,99.2155,71.02525,95.3985,99.33966667,86.998,90.7316,7.586,1.949,1.548,0.537,0.734,0.208,0.525,https://www.worldometers.info//img/flags/small/tn_da-flag.gif
Dominican Republic,2023,72.13519314,95.927,75.679375,66.62128571,74.2295,71.8335,67.6394,5.569,1.536,1.227,0.351,0.623,0.083,0.195,
Ecuador,2023,70.43423838,83.9455,57.8015,78.3745,90.54675,79.506,75.2924,5.559,1.343,1.173,0.476,0.56,0.079,0.069,https://www.worldometers.info//img/flags/small/tn_ec-flag.gif
El Salvador,2023,70.65896551,93.9875,56.22275,80.27892857,81.5865,65.16725,72.5926,6.122,1.278,1.044,0.383,0.713,0.079,0.222,https://www.worldometers.info//img/flags/small/tn_es-flag.gif
Estonia,2023,81.68334647,99.9835,63.176,89.497,96.052,76.77775,84.074,6.455,1.798,1.526,0.494,0.728,0.153,0.372,https://www.worldometers.info//img/flags/small/tn_en-flag.gif
Ethiopia,2023,54.54639699,48.808,53.71614286,46.47614286,31.719,59.6975,38.6896,4.091,0.793,1.114,0.25,0.451,0.283,0.101,https://www.worldometers.info//img/flags/small/tn_et-flag.gif
Finland,2023,86.76059478,99.575,60.88675,95.38638462,97.16933333,92.11125,94.3276,7.804,1.888,1.585,0.535,0.772,0.126,0.535,https://www.worldometers.info//img/flags/small/tn_fi-flag.gif
France,2023,82.04834271,99.7285,72.390125,93.22457143,99.63,87.82325,89.2696,6.661,1.856,1.433,0.566,0.582,0.083,0.27,https://www.worldometers.info//img/flags/small/tn_fr-flag.gif
Gabon,2023,63.092157,88.682,51.60071429,50.47828571,60.81766667,45.22625,61.365,5.035,1.438,1.021,0.183,0.346,0.036,0.102,https://www.worldometers.info//img/flags/small/tn_gb-flag.gif
Georgia,2023,75.01713789,88.0635,55.53785714,75.13621429,96.887,61.82925,80.309,5.109,1.477,0.947,0.366,0.539,0.0,0.201,https://www.worldometers.info//img/flags/small/tn_gg-flag.gif
Germany,2023,83.35844651,99.5105,72.366,93.03935714,97.16266667,81.92025,88.4434,6.892,1.919,1.401,0.539,0.618,0.153,0.365,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif
Ghana,2023,61.79869089,54.358,70.778625,52.81207143,84.542,54.939,57.6814,4.605,1.101,0.756,0.197,0.526,0.211,0.035,https://www.worldometers.info//img/flags/small/tn_gh-flag.gif
Greece,2023,78.36883446,99.2315,66.624875,90.32485714,97.13575,65.4365,87.651,5.931,1.708,1.247,0.535,0.248,0.008,0.097,https://www.worldometers.info//img/flags/small/tn_gr-flag.gif
Guatemala,2023,59.38309832,76.5485,43.4895,68.54428571,72.35025,49.851,69.018,6.15,1.287,1.188,0.31,0.631,0.106,0.066,https://www.worldometers.info//img/flags/small/tn_gt-flag.gif
Guinea,2023,54.88727619,60.4645,58.15514286,32.33971429,33.41325,28.019,51.699,5.072,0.844,0.776,0.072,0.369,0.204,0.102,https://www.worldometers.info//img/flags/small/tn_gv-flag.gif
Honduras,2023,62.94584397,70.3035,53.925875,70.15578571,61.02225,66.744,72.428,6.023,1.115,1.072,0.341,0.613,0.189,0.062,https://www.worldometers.info//img/flags/small/tn_ho-flag.gif
Hungary,2023,79.39344534,98.929,70.321625,83.63961538,92.7565,66.79875,86.5822,6.041,1.754,1.519,0.435,0.501,0.105,0.065,https://www.worldometers.info//img/flags/small/tn_hu-flag.gif
Iceland,2023,78.26644181,99.8645,53.48428571,96.40807143,98.09333333,94.02166667,59.7898,7.53,1.926,1.62,0.559,0.738,0.25,0.187,https://www.worldometers.info//img/flags/small/tn_ic-flag.gif
India,2023,63.44921401,86.2335,54.39175,64.79164286,89.29225,46.254,58.1254,4.036,1.159,0.674,0.252,0.685,0.175,0.111,https://www.worldometers.info//img/flags/small/tn_in-flag.gif
Indonesia,2023,70.16289734,86.0555,66.61325,64.84042857,92.18425,63.7675,70.082,5.277,1.384,1.169,0.314,0.663,0.422,0.038,https://www.worldometers.info//img/flags/small/tn_id-flag.gif
Ireland,2023,80.14793835,99.947,67.66175,94.441,98.985,77.6815,82.9052,6.911,2.152,1.425,0.539,0.656,0.186,0.409,https://www.worldometers.info//img/flags/small/tn_ei-flag.gif
Israel,2023,73.97033908,98.626,55.39171429,96.33516667,99.58433333,76.098,68.2082,7.473,1.833,1.521,0.577,0.569,0.124,0.158,https://www.worldometers.info//img/flags/small/tn_is-flag.gif
Italy,2023,78.78683607,97.5035,69.82725,93.86342857,94.19,74.34975,80.8128,6.405,1.832,1.365,0.559,0.438,0.097,0.063,https://www.worldometers.info//img/flags/small/tn_it-flag.gif
Jamaica,2023,69.59087411,90.0045,59.067375,78.18257143,81.78266667,78.338,70.0882,5.703,1.305,1.329,0.411,0.587,0.079,0.039,https://www.worldometers.info//img/flags/small/tn_jm-flag.gif
Japan,2023,79.41412774,99.2955,75.177625,94.57407692,93.93433333,61.6995,84.9298,6.129,1.825,1.396,0.622,0.556,0.009,0.207,https://www.worldometers.info//img/flags/small/tn_ja-flag.gif
Jordan,2023,69.87478579,98.6615,56.88525,74.36523077,59.11075,39.806,55.218,4.12,1.292,0.98,0.438,0.517,0.056,0.173,https://www.worldometers.info//img/flags/small/tn_jo-flag.gif
Kazakhstan,2023,71.64826315,98.655,53.442,79.99757143,86.19125,75.8965,72.3634,6.144,1.664,1.491,0.389,0.628,0.136,0.149,https://www.worldometers.info//img/flags/small/tn_kz-flag.gif
Kenya,2023,60.91303634,49.434,58.452125,51.03028571,71.129,70.0455,46.664,4.487,1.051,0.881,0.19,0.418,0.291,0.055,https://www.worldometers.info//img/flags/small/tn_ke-flag.gif
Latvia,2023,80.68164288,99.9835,64.230125,84.30464286,97.83275,77.47225,89.1842,6.213,1.737,1.505,0.405,0.58,0.107,0.071,https://www.worldometers.info//img/flags/small/tn_lg-flag.gif
Lebanon,2023,67.52014468,98.731,56.64314286,74.33692857,99.617,45.17175,66.2592,2.392,1.417,0.476,0.398,0.123,0.061,0.027,https://www.worldometers.info//img/flags/small/tn_le-flag.gif
Liberia,2023,49.88381024,26.398,47.77614286,32.81507692,37.13325,44.108,53.002,4.042,0.628,0.644,0.141,0.471,0.219,0.071,https://www.worldometers.info//img/flags/small/tn_li-flag.gif
Lithuania,2023,76.80511203,99.9835,59.638,86.08364286,98.1385,75.914,78.8314,6.763,1.808,1.511,0.432,0.487,0.059,0.089,https://www.worldometers.info//img/flags/small/tn_lh-flag.gif
Luxembourg,2023,77.64534955,99.9735,58.858875,96.47442857,98.282,85.25566667,81.5924,7.228,2.2,1.357,0.549,0.71,0.149,0.418,https://www.worldometers.info//img/flags/small/tn_lu-flag.gif
Madagascar,2023,50.25456036,4.2355,53.48075,32.94171429,54.5255,68.123,44.8658,4.019,0.632,0.779,0.178,0.187,0.177,0.134,https://www.worldometers.info//img/flags/small/tn_ma-flag.gif
Malawi,2023,56.29572536,0.0,61.67114286,49.6615,52.83133333,70.05675,52.4742,3.495,0.637,0.479,0.189,0.49,0.139,0.129,https://www.worldometers.info//img/flags/small/tn_mi-flag.gif
Malaysia,2023,69.8497457,98.879,49.419,80.09521429,88.01225,58.29675,76.2612,6.012,1.665,1.155,0.385,0.659,0.222,0.122,https://www.worldometers.info//img/flags/small/tn_my-flag.gif
Mali,2023,57.98284701,44.395,59.288875,40.6655,10.60775,60.14125,61.7106,4.198,0.763,0.637,0.106,0.441,0.121,0.059,https://www.worldometers.info//img/flags/small/tn_ml-flag.gif
Malta,2023,75.52944579,99.762,66.262375,91.15361538,99.11175,64.72425,48.7066,6.3,1.841,1.468,0.547,0.671,0.2,0.143,https://www.worldometers.info//img/flags/small/tn_mt-flag.gif
Mauritania,2023,57.23236891,76.975,42.60285714,51.83964286,47.028,38.6505,58.1606,4.724,1.099,0.764,0.244,0.32,0.13,0.195,https://www.worldometers.info//img/flags/small/tn_mr-flag.gif
Mauritius,2023,67.9773422,98.0325,71.52333333,75.22978571,83.504,52.29075,71.0915,5.902,1.589,1.382,0.336,0.574,0.121,0.11,https://www.worldometers.info//img/flags/small/tn_mp-flag.gif
Mexico,2023,69.70547768,86.266,61.12975,79.70114286,95.9905,80.59675,70.961,6.33,1.55,1.169,0.389,0.632,0.086,0.115,https://www.worldometers.info//img/flags/small/tn_mx-flag.gif
Moldova,2023,78.63437562,98.6685,63.0395,76.634,99.62675,76.76,70.3924,5.819,1.425,1.302,0.375,0.61,0.093,0.02,
Mongolia,2023,64.69436642,94.609,48.91385714,63.99035714,94.58625,65.03675,64.8576,5.84,1.379,1.494,0.244,0.425,0.239,0.058,https://www.worldometers.info//img/flags/small/tn_mg-flag.gif
Montenegro,2023,71.40438382,98.945,51.76114286,75.6685,88.159,56.857,65.20933333,5.722,1.537,1.385,0.424,0.563,0.17,0.061,https://www.worldometers.info//img/flags/small/tn_mj-flag.gif
Morocco,2023,70.86945567,90.3785,64.697375,73.08585714,78.56875,43.7715,63.4674,4.903,1.236,0.535,0.337,0.54,0.013,0.085,https://www.worldometers.info//img/flags/small/tn_mo-flag.gif
Myanmar,2023,60.44313051,57.98,65.89975,49.82842857,61.1155,57.457,68.4666,4.372,1.032,1.125,0.269,0.46,0.4,0.194,https://www.worldometers.info//img/flags/small/tn_bm-flag.gif
Namibia,2023,64.28167339,61.097,49.93525,49.89435714,83.695,87.63425,56.0122,4.631,1.289,1.126,0.145,0.383,0.069,0.071,https://www.worldometers.info//img/flags/small/tn_wa-flag.gif
Nepal,2023,66.46962887,81.3985,68.574,59.62076923,83.90075,50.687,70.8014,5.36,0.979,1.027,0.281,0.567,0.215,0.104,https://www.worldometers.info//img/flags/small/tn_np-flag.gif
Netherlands,2023,79.42118915,99.265,67.65225,95.67085714,99.293,85.1,87.1896,7.403,1.942,1.488,0.545,0.672,0.251,0.394,
Nicaragua,2023,64.79990658,71.735,54.83875,74.8295,77.983,83.88075,66.3406,6.259,1.109,1.292,0.385,0.66,0.148,0.218,https://www.worldometers.info//img/flags/small/tn_nu-flag.gif
Niger,2023,48.30976092,12.8375,45.26114286,37.60585714,3.028,43.66275,43.3068,4.501,0.561,0.628,0.137,0.54,0.154,0.14,
Nigeria,2023,54.27087045,49.9235,61.065875,36.196,38.75066667,39.22425,59.7088,4.981,1.065,1.007,0.092,0.448,0.176,0.013,https://www.worldometers.info//img/flags/small/tn_ni-flag.gif
North Macedonia,2023,72.46901727,96.165,62.59042857,76.88569231,66.5815,59.03825,71.8312,5.254,1.498,1.171,0.408,0.515,0.207,0.02,
Norway,2023,82.00448915,99.2225,60.794875,97.11514286,97.98733333,92.87925,83.6618,7.315,1.994,1.521,0.544,0.752,0.212,0.463,https://www.worldometers.info//img/flags/small/tn_no-flag.gif
Pakistan,2023,58.96764175,79.143,43.61571429,45.17753846,59.71366667,37.244,49.4294,4.555,1.081,0.657,0.158,0.511,0.141,0.102,https://www.worldometers.info//img/flags/small/tn_pk-flag.gif
Panama,2023,67.32492941,94.6965,50.27325,78.94830769,80.69925,66.391,71.2212,6.265,1.714,1.402,0.475,0.63,0.065,0.036,https://www.worldometers.info//img/flags/small/tn_pm-flag.gif
Paraguay,2023,68.84061334,95.0725,73.7825,71.99121429,75.29575,67.16725,76.5172,5.738,1.428,1.427,0.392,0.678,0.148,0.062,https://www.worldometers.info//img/flags/small/tn_pa-flag.gif
Peru,2023,71.65907643,86.018,71.42375,80.8245,98.7865,74.927,77.9804,5.526,1.39,1.153,0.499,0.549,0.073,0.027,https://www.worldometers.info//img/flags/small/tn_pe-flag.gif
Philippines,2023,67.14368186,80.5085,68.838625,58.24071429,78.49475,64.25425,70.373,5.523,1.238,1.108,0.286,0.714,0.104,0.141,
Poland,2023,81.80017556,99.0405,67.4935,85.16946154,97.4505,73.14575,84.3816,6.26,1.767,1.474,0.477,0.511,0.12,0.139,https://www.worldometers.info//img/flags/small/tn_pl-flag.gif
Portugal,2023,80.01748718,99.9375,64.283,92.07335714,98.59225,84.22075,80.2702,5.968,1.758,1.356,0.537,0.693,0.031,0.037,https://www.worldometers.info//img/flags/small/tn_po-flag.gif
Romania,2023,77.46052633,98.581,72.9345,80.58042857,84.5695,55.135,76.2582,6.589,1.726,1.28,0.423,0.631,0.044,0.0,https://www.worldometers.info//img/flags/small/tn_ro-flag.gif
Saudi Arabia,2023,67.69215149,100.0,56.854625,80.68546154,78.47325,44.5985,59.0856,6.463,1.861,1.37,0.351,0.682,0.093,0.17,https://www.worldometers.info//img/flags/small/tn_sa-flag.gif
Senegal,2023,61.8294028,67.873,61.802,57.78757143,31.6605,44.3055,64.811,4.855,0.943,0.727,0.231,0.519,0.142,0.06,https://www.worldometers.info//img/flags/small/tn_sg-flag.gif
