country,year,sustainable_index_score,no_poverty_score,zero_hunger_score,good_health_score,quality_education_score,gender_equality_score,clean_water_sanitation_score,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,URL
Afghanistan,2022,49.0,12.4,46.9,37.5,34.4,32.9,50.4,2.404,0.758,0.0,0.289,0.0,0.089,0.005,https://www.worldometers.info//img/flags/small/tn_af-flag.gif
Albania,2022,73.5,98.6,59.3,81.9,86.8,60.8,73.7,5.199,1.439,0.646,0.719,0.511,0.138,0.028,https://www.worldometers.info//img/flags/small/tn_al-flag.gif
Algeria,2022,70.8,97.7,57.6,77.3,70.1,41.0,58.0,5.122,1.363,0.97,0.643,0.146,0.106,0.15,https://www.worldometers.info//img/flags/small/tn_ag-flag.gif
Argentina,2022,73.7,96.8,68.7,81.0,97.9,82.6,77.9,5.967,1.592,1.102,0.662,0.555,0.081,0.085,https://www.worldometers.info//img/flags/small/tn_ar-flag.gif
Armenia,2022,73.3,96.3,53.6,77.0,66.7,68.4,65.6,5.399,1.434,0.82,0.668,0.558,0.054,0.21,https://www.worldometers.info//img/flags/small/tn_am-flag.gif
Australia,2022,75.9,99.3,58.4,95.2,89.6,82.0,93.9,7.162,1.9,1.203,0.772,0.676,0.258,0.341,https://www.worldometers.info//img/flags/small/tn_as-flag.gif
Austria,2022,82.3,99.5,73.1,92.5,97.9,84.6,92.2,7.163,1.931,1.165,0.774,0.623,0.193,0.329,https://www.worldometers.info//img/flags/small/tn_au-flag.gif
Bangladesh,2022,65.9,79.1,70.8,60.5,89.7,54.5,67.3,5.155,1.06,0.614,0.581,0.622,0.125,0.187,https://www.worldometers.info//img/flags/small/tn_bg-flag.gif
Belgium,2022,79.5,99.5,71.2,93.4,95.3,87.8,70.6,6.805,1.907,1.106,0.764,0.492,0.049,0.204,https://www.worldometers.info//img/flags/small/tn_be-flag.gif
Benin,2022,55.1,57.2,65.4,42.0,57.3,34.2,49.4,4.623,0.932,0.064,0.335,0.479,0.127,0.23,https://www.worldometers.info//img/flags/small/tn_bn-flag.gif
Bolivia,2022,68.9,91.7,64.9,66.8,90.6,69.5,69.1,5.6,1.256,0.88,0.555,0.627,0.112,0.064,
Bosnia and Herzegovina,2022,74.0,99.9,63.8,76.9,64.1,47.1,73.2,5.768,1.468,1.068,0.665,0.448,0.244,0.006,https://www.worldometers.info//img/flags/small/tn_bk-flag.gif
Botswana,2022,62.7,64.8,45.1,51.3,65.8,69.4,68.1,3.471,1.503,0.815,0.28,0.571,0.012,0.102,https://www.worldometers.info//img/flags/small/tn_bc-flag.gif
Brazil,2022,73.7,93.3,68.7,77.7,85.9,70.4,86.1,6.293,1.462,1.044,0.615,0.546,0.131,0.134,https://www.worldometers.info//img/flags/small/tn_br-flag.gif
Bulgaria,2022,74.6,100.0,68.2,79.3,79.5,71.6,66.3,5.371,1.625,1.163,0.64,0.563,0.123,0.021,https://www.worldometers.info//img/flags/small/tn_bu-flag.gif
Burkina Faso,2022,52.4,26.9,58.6,46.6,26.7,40.7,44.8,4.67,0.779,0.565,0.32,0.382,0.186,0.126,https://www.worldometers.info//img/flags/small/tn_uv-flag.gif
