country,year,sustainable_index_score,no_poverty_score,zero_hunger_score,good_health_score,quality_education_score,gender_equality_score,clean_water_sanitation_score,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,URL
Cameroon,2022,55.1,50.6,61.3,39.8,49.2,56.0,56.0,5.048,0.968,0.672,0.317,0.397,0.152,0.074,https://www.worldometers.info//img/flags/small/tn_cm-flag.gif
Canada,2022,78.5,99.6,63.5,93.9,99.4,83.9,86.1,7.025,1.886,1.188,0.783,0.659,0.217,0.368,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Chad,2022,45.3,25.4,38.5,27.1,13.3,30.8,42.4,4.251,0.662,0.506,0.225,0.18,0.182,0.077,https://www.worldometers.info//img/flags/small/tn_cd-flag.gif
Chile,2022,78.2,96.4,71.5,88.4,97.8,77.7,89.4,6.172,1.651,1.08,0.748,0.46,0.124,0.069,https://www.worldometers.info//img/flags/small/tn_ci-flag.gif
China,2022,72.0,98.1,83.4,83.4,99.5,78.2,69.0,5.585,1.508,0.958,0.705,0.656,0.099,0.142,https://www.worldometers.info//img/flags/small/tn_ch-flag.gif
Colombia,2022,70.1,77.7,65.2,82.7,92.3,69.4,79.4,5.781,1.452,0.929,0.72,0.545,0.087,0.077,https://www.worldometers.info//img/flags/small/tn_co-flag.gif
Costa Rica,2022,73.6,93.8,53.9,88.3,99.2,82.0,74.5,6.582,1.584,1.054,0.744,0.661,0.089,0.102,https://www.worldometers.info//img/flags/small/tn_cs-flag.gif
Croatia,2022,81.5,100.0,74.3,86.4,95.7,71.1,86.4,6.125,1.705,1.183,0.709,0.535,0.109,0.0,https://www.worldometers.info//img/flags/small/tn_hr-flag.gif
Denmark,2022,85.7,99.2,71.0,95.4,99.3,87.0,90.7,7.636,1.953,1.243,0.777,0.719,0.188,0.532,https://www.worldometers.info//img/flags/small/tn_da-flag.gif
Dominican Republic,2022,72.1,95.9,75.7,66.6,74.2,71.8,67.6,5.737,1.538,1.003,0.577,0.606,0.084,0.179,
Ecuador,2022,70.4,83.9,57.8,78.4,90.5,79.5,75.3,5.533,1.352,0.879,0.708,0.565,0.08,0.083,https://www.worldometers.info//img/flags/small/tn_ec-flag.gif
El Salvador,2022,70.7,94.0,56.2,80.3,81.6,65.2,72.6,6.12,1.265,0.768,0.607,0.666,0.089,0.212,https://www.worldometers.info//img/flags/small/tn_es-flag.gif
Estonia,2022,81.7,100.0,63.2,89.5,96.1,76.8,84.1,6.341,1.793,1.232,0.728,0.689,0.123,0.333,https://www.worldometers.info//img/flags/small/tn_en-flag.gif
Ethiopia,2022,54.5,48.8,53.7,46.5,31.7,59.7,38.7,4.241,0.788,0.809,0.457,0.472,0.205,0.136,https://www.worldometers.info//img/flags/small/tn_et-flag.gif
Finland,2022,86.8,99.6,60.9,95.4,97.2,92.1,94.3,7.821,1.892,1.258,0.775,0.736,0.109,0.534,https://www.worldometers.info//img/flags/small/tn_fi-flag.gif
France,2022,82.0,99.7,72.4,93.2,99.6,87.8,89.3,6.687,1.863,1.219,0.808,0.567,0.07,0.266,https://www.worldometers.info//img/flags/small/tn_fr-flag.gif
Gabon,2022,63.1,88.7,51.6,50.5,60.8,45.2,61.4,4.958,1.459,0.738,0.396,0.343,0.032,0.099,https://www.worldometers.info//img/flags/small/tn_gb-flag.gif
Georgia,2022,75.0,88.1,55.5,75.1,96.9,61.8,80.3,4.973,1.467,0.612,0.595,0.508,0.0,0.208,https://www.worldometers.info//img/flags/small/tn_gg-flag.gif
Germany,2022,83.4,99.5,72.4,93.0,97.2,81.9,88.4,7.034,1.924,1.088,0.776,0.585,0.163,0.358,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif
Ghana,2022,61.8,54.4,70.8,52.8,84.5,54.9,57.7,4.872,1.112,0.595,0.409,0.5,0.23,0.056,https://www.worldometers.info//img/flags/small/tn_gh-flag.gif
Greece,2022,78.4,99.2,66.6,90.3,97.1,65.4,87.7,5.948,1.703,0.98,0.774,0.249,0.015,0.108,https://www.worldometers.info//img/flags/small/tn_gr-flag.gif
Guatemala,2022,59.4,76.5,43.5,68.5,72.4,49.9,69.0,6.262,1.274,0.831,0.522,0.662,0.112,0.115,https://www.worldometers.info//img/flags/small/tn_gt-flag.gif
Guinea,2022,54.9,60.5,58.2,32.3,33.4,28.0,51.7,4.891,0.848,0.566,0.275,0.334,0.214,0.116,https://www.worldometers.info//img/flags/small/tn_gv-flag.gif
Honduras,2022,62.9,70.3,53.9,70.2,61.0,66.7,72.4,6.022,1.111,0.885,0.555,0.582,0.202,0.076,https://www.worldometers.info//img/flags/small/tn_ho-flag.gif
Hungary,2022,79.4,98.9,70.3,83.6,92.8,66.8,86.6,6.086,1.748,1.233,0.668,0.485,0.078,0.064,https://www.worldometers.info//img/flags/small/tn_hu-flag.gif
Iceland,2022,78.3,99.9,53.5,96.4,98.1,94.0,59.8,7.557,1.936,1.32,0.803,0.718,0.27,0.191,https://www.worldometers.info//img/flags/small/tn_ic-flag.gif
India,2022,63.4,86.2,54.4,64.8,89.3,46.3,58.1,3.777,1.167,0.376,0.471,0.647,0.198,0.123,https://www.worldometers.info//img/flags/small/tn_in-flag.gif
Indonesia,2022,70.2,86.1,66.6,64.8,92.2,63.8,70.1,5.24,1.382,0.883,0.539,0.62,0.468,0.047,https://www.worldometers.info//img/flags/small/tn_id-flag.gif
Ireland,2022,80.1,99.9,67.7,94.4,99.0,77.7,82.9,7.041,2.129,1.166,0.779,0.627,0.19,0.408,https://www.worldometers.info//img/flags/small/tn_ei-flag.gif
Israel,2022,74.0,98.6,55.4,96.3,99.6,76.1,68.2,7.364,1.826,1.221,0.818,0.568,0.155,0.143,https://www.worldometers.info//img/flags/small/tn_is-flag.gif
Italy,2022,78.8,97.5,69.8,93.9,94.2,74.3,80.8,6.467,1.834,1.052,0.801,0.412,0.085,0.059,https://www.worldometers.info//img/flags/small/tn_it-flag.gif
Jamaica,2022,69.6,90.0,59.1,78.2,81.8,78.3,70.1,5.85,1.296,1.045,0.646,0.567,0.08,0.053,https://www.worldometers.info//img/flags/small/tn_jm-flag.gif
Japan,2022,79.4,99.3,75.2,94.6,93.9,61.7,84.9,6.039,1.835,1.089,0.866,0.537,0.007,0.218,https://www.worldometers.info//img/flags/small/tn_ja-flag.gif
Jordan,2022,69.9,98.7,56.9,74.4,59.1,39.8,55.2,4.152,1.324,0.724,0.675,0.476,0.058,0.2,https://www.worldometers.info//img/flags/small/tn_jo-flag.gif
Kazakhstan,2022,71.6,98.7,53.4,80.0,86.2,75.9,72.4,6.234,1.668,1.22,0.611,0.584,0.134,0.157,https://www.worldometers.info//img/flags/small/tn_kz-flag.gif
Kenya,2022,60.9,49.4,58.5,51.0,71.1,70.0,46.7,4.543,1.032,0.605,0.401,0.44,0.322,0.082,https://www.worldometers.info//img/flags/small/tn_ke-flag.gif
Latvia,2022,80.7,100.0,64.2,84.3,97.8,77.5,89.2,6.18,1.732,1.221,0.637,0.502,0.075,0.09,https://www.worldometers.info//img/flags/small/tn_lg-flag.gif
Lebanon,2022,67.5,98.7,56.6,74.3,99.6,45.2,66.3,2.955,1.392,0.498,0.631,0.103,0.082,0.034,https://www.worldometers.info//img/flags/small/tn_le-flag.gif
Liberia,2022,49.9,26.4,47.8,32.8,37.1,44.1,53.0,5.122,0.636,0.67,0.309,0.405,0.178,0.08,https://www.worldometers.info//img/flags/small/tn_li-flag.gif
Lithuania,2022,76.8,100.0,59.6,86.1,98.1,75.9,78.8,6.446,1.804,1.204,0.659,0.496,0.053,0.077,https://www.worldometers.info//img/flags/small/tn_lh-flag.gif
Luxembourg,2022,77.6,100.0,58.9,96.5,98.3,85.3,81.6,7.404,2.209,1.155,0.79,0.7,0.12,0.388,https://www.worldometers.info//img/flags/small/tn_lu-flag.gif
Madagascar,2022,50.3,4.2,53.5,32.9,54.5,68.1,44.9,4.339,0.67,0.645,0.378,0.202,0.143,0.154,https://www.worldometers.info//img/flags/small/tn_ma-flag.gif
Malawi,2022,56.3,0.0,61.7,49.7,52.8,70.1,52.5,3.75,0.648,0.279,0.388,0.477,0.14,0.157,https://www.worldometers.info//img/flags/small/tn_mi-flag.gif
Malaysia,2022,69.8,98.9,49.4,80.1,88.0,58.3,76.3,5.711,1.689,0.938,0.62,0.654,0.213,0.126,https://www.worldometers.info//img/flags/small/tn_my-flag.gif
Mali,2022,58.0,44.4,59.3,40.7,10.6,60.1,61.7,4.479,0.792,0.483,0.311,0.35,0.128,0.042,https://www.worldometers.info//img/flags/small/tn_ml-flag.gif
Malta,2022,75.5,99.8,66.3,91.2,99.1,64.7,48.7,6.447,1.838,1.169,0.789,0.679,0.174,0.166,https://www.worldometers.info//img/flags/small/tn_mt-flag.gif
Mauritania,2022,57.2,77.0,42.6,51.8,47.0,38.7,58.2,4.153,1.1,0.865,0.45,0.304,0.088,0.138,https://www.worldometers.info//img/flags/small/tn_mr-flag.gif
Mauritius,2022,68.0,98.0,71.5,75.2,83.5,52.3,71.1,6.071,1.591,1.116,0.568,0.589,0.131,0.107,https://www.worldometers.info//img/flags/small/tn_mp-flag.gif
Mexico,2022,69.7,86.3,61.1,79.7,96.0,80.6,71.0,6.128,1.552,0.886,0.623,0.621,0.092,0.115,https://www.worldometers.info//img/flags/small/tn_mx-flag.gif
Moldova,2022,78.6,98.7,63.0,76.6,99.6,76.8,70.4,5.857,1.417,1.008,0.597,0.561,0.102,0.028,
Mongolia,2022,64.7,94.6,48.9,64.0,94.6,65.0,64.9,5.761,1.393,1.197,0.467,0.398,0.247,0.059,https://www.worldometers.info//img/flags/small/tn_mg-flag.gif
Montenegro,2022,71.4,98.9,51.8,75.7,88.2,56.9,65.2,5.547,1.573,1.023,0.659,0.46,0.135,0.077,https://www.worldometers.info//img/flags/small/tn_mj-flag.gif
Morocco,2022,70.9,90.4,64.7,73.1,78.6,43.8,63.5,5.06,1.208,0.268,0.565,0.492,0.02,0.102,https://www.worldometers.info//img/flags/small/tn_mo-flag.gif
Myanmar,2022,60.4,58.0,65.9,49.8,61.1,57.5,68.5,4.394,1.038,0.829,0.491,0.513,0.452,0.194,https://www.worldometers.info//img/flags/small/tn_bm-flag.gif
Namibia,2022,64.3,61.1,49.9,49.9,83.7,87.6,56.0,4.459,1.292,0.877,0.354,0.384,0.067,0.071,https://www.worldometers.info//img/flags/small/tn_wa-flag.gif
Nepal,2022,66.5,81.4,68.6,59.6,83.9,50.7,70.8,5.377,0.984,0.784,0.499,0.519,0.237,0.13,https://www.worldometers.info//img/flags/small/tn_np-flag.gif
Netherlands,2022,79.4,99.3,67.7,95.7,99.3,85.1,87.2,7.415,1.945,1.206,0.787,0.651,0.271,0.419,
Nicaragua,2022,64.8,71.7,54.8,74.8,78.0,83.9,66.3,6.165,1.105,1.029,0.617,0.617,0.168,0.212,https://www.worldometers.info//img/flags/small/tn_nu-flag.gif
Niger,2022,48.3,12.8,45.3,37.6,3.0,43.7,43.3,5.003,0.57,0.56,0.326,0.571,0.165,0.145,
Nigeria,2022,54.3,49.9,61.1,36.2,38.8,39.2,59.7,4.552,1.079,0.732,0.3,0.444,0.175,0.038,https://www.worldometers.info//img/flags/small/tn_ni-flag.gif
North Macedonia,2022,72.5,96.2,62.6,76.9,66.6,59.0,71.8,5.199,1.505,0.863,0.637,0.488,0.215,0.031,
Norway,2022,82.0,99.2,60.8,97.1,98.0,92.9,83.7,7.365,1.997,1.239,0.786,0.728,0.217,0.474,https://www.worldometers.info//img/flags/small/tn_no-flag.gif
Pakistan,2022,59.0,79.1,43.6,45.2,59.7,37.2,49.4,4.516,1.049,0.413,0.374,0.448,0.181,0.112,https://www.worldometers.info//img/flags/small/tn_pk-flag.gif
Panama,2022,67.3,94.7,50.3,78.9,80.7,66.4,71.2,6.309,1.715,1.107,0.709,0.592,0.049,0.051,https://www.worldometers.info//img/flags/small/tn_pm-flag.gif
Paraguay,2022,68.8,95.1,73.8,72.0,75.3,67.2,76.5,5.578,1.409,1.13,0.624,0.629,0.171,0.059,https://www.worldometers.info//img/flags/small/tn_pa-flag.gif
Peru,2022,71.7,86.0,71.4,80.8,98.8,74.9,78.0,5.559,1.397,0.865,0.735,0.545,0.09,0.037,https://www.worldometers.info//img/flags/small/tn_pe-flag.gif
Philippines,2022,67.1,80.5,68.8,58.2,78.5,64.3,70.4,5.904,1.268,0.912,0.514,0.678,0.107,0.142,
Poland,2022,81.8,99.0,67.5,85.2,97.5,73.1,84.4,6.123,1.758,1.174,0.712,0.523,0.124,0.14,https://www.worldometers.info//img/flags/small/tn_pl-flag.gif
Portugal,2022,80.0,99.9,64.3,92.1,98.6,84.2,80.3,6.016,1.76,1.078,0.777,0.655,0.016,0.039,https://www.worldometers.info//img/flags/small/tn_po-flag.gif
Romania,2022,77.5,98.6,72.9,80.6,84.6,55.1,76.3,6.477,1.719,1.006,0.655,0.605,0.039,0.006,https://www.worldometers.info//img/flags/small/tn_ro-flag.gif
Saudi Arabia,2022,67.7,100.0,56.9,80.7,78.5,44.6,59.1,6.523,1.87,1.092,0.577,0.651,0.078,0.18,https://www.worldometers.info//img/flags/small/tn_sa-flag.gif
Senegal,2022,61.8,67.9,61.8,57.8,31.7,44.3,64.8,5.046,0.933,0.53,0.447,0.494,0.143,0.081,https://www.worldometers.info//img/flags/small/tn_sg-flag.gif
Serbia,2022,77.3,100.0,75.8,82.5,93.6,64.9,75.0,6.178,1.55,1.086,0.658,0.546,0.219,0.088,https://www.worldometers.info//img/flags/small/tn_ri-flag.gif
Sierra Leone,2022,55.7,49.1,56.7,36.6,50.3,46.6,49.1,3.574,0.686,0.416,0.273,0.387,0.202,0.055,https://www.worldometers.info//img/flags/small/tn_sl-flag.gif
Slovenia,2022,81.0,99.4,66.6,92.4,95.6,77.0,87.8,6.63,1.81,1.249,0.769,0.685,0.118,0.115,https://www.worldometers.info//img/flags/small/tn_si-flag.gif
South Africa,2022,64.0,51.7,56.8,57.0,76.6,76.8,62.4,5.194,1.425,1.088,0.361,0.442,0.089,0.046,https://www.worldometers.info//img/flags/small/tn_sf-flag.gif
Spain,2022,80.4,98.7,65.4,94.2,97.4,86.9,87.4,6.476,1.808,1.211,0.808,0.505,0.101,0.149,https://www.worldometers.info//img/flags/small/tn_sp-flag.gif
Sri Lanka,2022,69.4,86.2,69.0,78.5,98.9,52.4,50.2,4.362,1.415,0.934,0.66,0.529,0.15,0.079,https://www.worldometers.info//img/flags/small/tn_ce-flag.gif
Sweden,2022,86.0,98.9,63.1,96.9,99.8,91.4,95.1,7.384,1.92,1.204,0.803,0.724,0.218,0.512,https://www.worldometers.info//img/flags/small/tn_sw-flag.gif
Switzerland,2022,80.5,99.5,67.9,96.0,98.5,85.9,90.5,7.512,2.026,1.226,0.822,0.677,0.147,0.461,https://www.worldometers.info//img/flags/small/tn_sz-flag.gif
Tajikistan,2022,69.2,83.0,65.3,67.2,73.5,56.5,59.5,5.377,0.966,1.005,0.518,0.572,0.118,0.304,https://www.worldometers.info//img/flags/small/tn_ti-flag.gif
Tanzania,2022,56.8,25.6,61.0,46.2,48.7,70.8,51.7,3.702,0.848,0.597,0.425,0.578,0.248,0.27,
Thailand,2022,74.7,98.6,58.6,79.7,98.0,70.7,76.0,5.891,1.535,1.096,0.697,0.617,0.321,0.026,https://www.worldometers.info//img/flags/small/tn_th-flag.gif
Togo,2022,56.3,31.4,61.0,45.7,80.1,42.4,50.9,4.112,0.771,0.322,0.36,0.292,0.174,0.132,https://www.worldometers.info//img/flags/small/tn_to-flag.gif
Tunisia,2022,72.5,97.9,61.5,78.9,93.1,51.0,63.9,4.516,1.35,0.596,0.656,0.316,0.029,0.029,https://www.worldometers.info//img/flags/small/tn_ts-flag.gif
Uganda,2022,55.0,25.4,66.7,49.3,40.8,67.8,47.4,4.603,0.777,0.875,0.418,0.402,0.222,0.066,https://www.worldometers.info//img/flags/small/tn_ug-flag.gif
United Kingdom,2022,81.7,99.0,68.4,93.1,98.2,84.1,94.4,6.943,1.867,1.143,0.75,0.597,0.289,0.329,https://www.worldometers.info//img/flags/small/tn_uk-flag.gif
United States,2022,75.9,98.9,68.6,88.7,93.9,76.8,83.6,6.977,1.982,1.182,0.628,0.574,0.22,0.177,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Uruguay,2022,77.7,98.5,67.6,84.7,90.7,76.4,75.8,6.474,1.615,1.18,0.672,0.665,0.103,0.265,https://www.worldometers.info//img/flags/small/tn_uy-flag.gif
Uzbekistan,2022,71.1,61.6,67.5,77.2,85.1,85.1,58.8,6.063,1.219,1.092,0.6,0.716,0.283,0.24,https://www.worldometers.info//img/flags/small/tn_uz-flag.gif
Vietnam,2022,73.3,97.0,73.6,69.9,97.4,74.4,74.3,5.485,1.252,0.932,0.611,0.707,0.143,0.105,https://www.worldometers.info//img/flags/small/tn_vi-flag.gif
Zambia,2022,54.3,9.9,59.5,45.6,66.7,65.1,52.9,3.76,0.93,0.577,0.306,0.525,0.203,0.083,https://www.worldometers.info//img/flags/small/tn_za-flag.gif
Zimbabwe,2022,55.6,21.5,48.5,41.9,62.5,77.2,51.1,2.995,0.947,0.69,0.27,0.329,0.106,0.105,https://www.worldometers.info//img/flags/small/tn_zi-flag.gif
