country,year,sustainable_index_score,no_poverty_score,zero_hunger_score,good_health_score,quality_education_score,gender_equality_score,clean_water_sanitation_score,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,URL
Afghanistan,2016,44.7,29.8,44.3,34.4,37.4,24.8,45.4,3.36,0.38227,0.11037,0.17344,0.1643,0.31268,0.07112,https://www.worldometers.info//img/flags/small/tn_af-flag.gif
Albania,2016,71.1,96.5,49.5,80.9,96.5,53.7,73.0,4.655,0.9553,0.50163,0.73007,0.31866,0.1684,0.05301,https://www.worldometers.info//img/flags/small/tn_al-flag.gif
Algeria,2016,71.9,97.3,54.3,77.3,84.5,54.9,57.9,6.355,1.05266,0.83309,0.61804,0.21006,0.07044,0.16157,https://www.worldometers.info//img/flags/small/tn_ag-flag.gif
Argentina,2016,72.1,97.3,68.7,81.3,96.2,76.3,77.9,6.65,1.15137,1.06612,0.69711,0.42284,0.10989,0.07296,https://www.worldometers.info//img/flags/small/tn_ar-flag.gif
Armenia,2016,71.0,91.3,55.8,73.7,71.8,55.4,63.9,4.36,0.86086,0.62477,0.64083,0.14037,0.07793,0.03616,https://www.worldometers.info//img/flags/small/tn_am-flag.gif
Australia,2016,75.0,99.6,57.3,95.3,94.7,79.5,93.9,7.313,1.44443,1.10476,0.8512,0.56837,0.47407,0.32331,https://www.worldometers.info//img/flags/small/tn_as-flag.gif
Austria,2016,81.6,99.2,73.9,91.7,98.2,78.6,92.2,7.119,1.45038,1.08383,0.80565,0.54355,0.32865,0.21348,https://www.worldometers.info//img/flags/small/tn_au-flag.gif
Bangladesh,2016,61.2,59.8,63.2,56.8,65.5,49.3,65.9,4.643,0.54177,0.24749,0.52989,0.39778,0.19132,0.12583,https://www.worldometers.info//img/flags/small/tn_bg-flag.gif
Belgium,2016,77.9,99.4,71.2,92.8,97.1,84.5,71.2,6.929,1.42539,1.05249,0.81959,0.51354,0.2424,0.26248,https://www.worldometers.info//img/flags/small/tn_be-flag.gif
Benin,2016,49.2,26.6,64.1,38.9,55.5,32.0,48.9,3.484,0.39499,0.10419,0.21028,0.39747,0.2018,0.06681,https://www.worldometers.info//img/flags/small/tn_bn-flag.gif
Bolivia,2016,67.0,83.9,63.4,69.4,86.6,72.4,66.7,5.822,0.79422,0.83779,0.4697,0.50961,0.21698,0.07746,
Bosnia and Herzegovina,2016,71.0,99.7,64.8,74.1,56.1,40.1,73.2,5.163,0.93383,0.64367,0.70766,0.09511,0.29889,0.0,https://www.worldometers.info//img/flags/small/tn_bk-flag.gif
Botswana,2016,60.3,59.5,42.6,46.6,67.3,67.7,66.3,3.974,1.09426,0.89186,0.34752,0.44089,0.12425,0.10769,https://www.worldometers.info//img/flags/small/tn_bc-flag.gif
Brazil,2016,71.5,85.3,69.7,78.2,85.1,66.9,84.9,6.952,1.08754,1.03938,0.61415,0.40425,0.15776,0.14166,https://www.worldometers.info//img/flags/small/tn_br-flag.gif
Bulgaria,2016,73.3,100.0,65.2,77.4,86.5,68.0,65.9,4.217,1.11306,0.92542,0.67806,0.21219,0.12793,0.00615,https://www.worldometers.info//img/flags/small/tn_bu-flag.gif
Burkina Faso,2016,52.0,25.8,61.4,42.8,17.9,36.3,45.3,3.739,0.31995,0.63054,0.21297,0.3337,0.24353,0.12533,https://www.worldometers.info//img/flags/small/tn_uv-flag.gif
Cameroon,2016,53.5,44.5,59.4,36.7,52.9,54.3,55.1,4.513,0.52497,0.62542,0.12698,0.42736,0.2268,0.06126,https://www.worldometers.info//img/flags/small/tn_cm-flag.gif
Canada,2016,77.2,99.6,66.0,93.6,98.6,81.3,86.2,7.404,1.44015,1.0961,0.8276,0.5737,0.44834,0.31329,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Chad,2016,40.2,27.1,36.0,22.0,10.7,22.9,41.7,3.763,0.42214,0.63178,0.03824,0.12807,0.18667,0.04952,https://www.worldometers.info//img/flags/small/tn_cd-flag.gif
Chile,2016,76.4,100.0,71.9,87.7,95.0,66.0,89.2,6.705,1.2167,0.90587,0.81883,0.37789,0.31595,0.11451,https://www.worldometers.info//img/flags/small/tn_ci-flag.gif
China,2016,69.4,92.4,82.1,80.3,99.4,76.6,67.0,5.245,1.0278,0.79381,0.73561,0.44012,0.04959,0.02745,https://www.worldometers.info//img/flags/small/tn_ch-flag.gif
Colombia,2016,69.0,84.0,67.0,81.4,84.9,71.4,78.3,6.481,1.03032,1.02169,0.59659,0.44735,0.15626,0.05399,https://www.worldometers.info//img/flags/small/tn_co-flag.gif
Costa Rica,2016,71.5,94.8,55.2,86.5,81.7,75.7,74.3,7.087,1.06879,1.02152,0.76146,0.55225,0.22553,0.10547,https://www.worldometers.info//img/flags/small/tn_cs-flag.gif
Croatia,2016,79.8,100.0,75.4,85.1,95.9,58.7,86.3,5.488,1.18649,0.60809,0.70524,0.23907,0.18434,0.04002,https://www.worldometers.info//img/flags/small/tn_hr-flag.gif
Denmark,2016,84.7,99.1,72.1,94.4,98.6,85.7,90.9,7.526,1.44178,1.16374,0.79504,0.57941,0.36171,0.44453,https://www.worldometers.info//img/flags/small/tn_da-flag.gif
Dominican Republic,2016,69.8,91.3,75.2,62.3,86.5,71.1,67.1,5.155,1.02787,0.99496,0.57669,0.52259,0.21286,0.12372,
Ecuador,2016,70.8,87.6,59.7,78.5,98.2,79.1,73.9,5.976,0.97306,0.85974,0.68613,0.4027,0.10074,0.18037,https://www.worldometers.info//img/flags/small/tn_ec-flag.gif
El Salvador,2016,68.3,88.7,54.8,79.1,84.5,68.0,72.3,6.068,0.8737,0.80975,0.596,0.37269,0.08877,0.10613,https://www.worldometers.info//img/flags/small/tn_es-flag.gif
Estonia,2016,78.3,100.0,62.1,86.4,95.2,74.3,82.6,5.517,1.27964,1.05163,0.68098,0.41511,0.08423,0.18519,https://www.worldometers.info//img/flags/small/tn_en-flag.gif
Ethiopia,2016,51.4,30.5,52.9,42.4,28.9,55.4,36.7,4.508,0.29283,0.37932,0.34578,0.36703,0.29522,0.1717,https://www.worldometers.info//img/flags/small/tn_et-flag.gif
Finland,2016,85.4,99.5,63.7,95.2,98.7,88.9,94.3,7.413,1.40598,1.13464,0.81091,0.57104,0.25492,0.41004,https://www.worldometers.info//img/flags/small/tn_fi-flag.gif
France,2016,80.0,98.3,69.1,92.5,99.2,80.0,89.4,6.478,1.39488,1.00508,0.83795,0.46562,0.1216,0.17808,https://www.worldometers.info//img/flags/small/tn_fr-flag.gif
Gabon,2016,60.4,90.4,52.2,47.8,59.6,44.7,60.8,4.121,1.15851,0.72368,0.3494,0.28098,0.06244,0.09314,https://www.worldometers.info//img/flags/small/tn_gb-flag.gif
