country,year,sustainable_index_score,no_poverty_score,zero_hunger_score,good_health_score,quality_education_score,gender_equality_score,clean_water_sanitation_score,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,URL
Afghanistan,2017,45.6,29.6,43.5,35.1,38.9,27.1,46.6,3.79399991,0.401477218,0.581543326,0.180746779,0.10617952,0.311870933,0.06115783,https://www.worldometers.info//img/flags/small/tn_af-flag.gif
Albania,2017,71.9,96.7,56.9,81.7,93.8,55.5,73.3,4.644000053,0.996192753,0.803685248,0.731159747,0.381498635,0.201312944,0.039864216,https://www.worldometers.info//img/flags/small/tn_al-flag.gif
Algeria,2017,72.0,97.3,54.2,77.0,84.6,52.3,57.9,5.872000217,1.091864467,1.146217465,0.617584646,0.233335808,0.069436647,0.14609611,https://www.worldometers.info//img/flags/small/tn_ag-flag.gif
Argentina,2017,72.9,97.5,69.9,80.1,95.5,77.7,77.9,6.598999977,1.185295463,1.440451145,0.695137084,0.494519204,0.109457061,0.059739888,https://www.worldometers.info//img/flags/small/tn_ar-flag.gif
Armenia,2017,71.1,91.4,52.7,74.4,73.3,59.2,65.5,4.375999928,0.900596738,1.007483721,0.637524426,0.198303267,0.083488092,0.026674422,https://www.worldometers.info//img/flags/small/tn_am-flag.gif
Australia,2017,75.3,99.5,60.4,95.6,92.8,79.7,93.9,7.28399992,1.484414935,1.510041952,0.843886793,0.601607382,0.47769925,0.30118373,https://www.worldometers.info//img/flags/small/tn_as-flag.gif
Austria,2017,82.6,99.5,71.8,93.1,99.0,80.8,92.2,7.006000042,1.487097263,1.459944963,0.815328419,0.56776619,0.316472322,0.221060365,https://www.worldometers.info//img/flags/small/tn_au-flag.gif
Bangladesh,2017,61.8,62.5,64.1,60.0,64.9,51.1,66.2,4.607999802,0.586682975,0.735131741,0.533241034,0.478356659,0.172255352,0.123717859,https://www.worldometers.info//img/flags/small/tn_bg-flag.gif
Belgium,2017,77.9,99.4,71.5,93.0,96.3,84.4,70.6,6.890999794,1.463780761,1.462312698,0.818091869,0.539770722,0.231503338,0.251343131,https://www.worldometers.info//img/flags/small/tn_be-flag.gif
Benin,2017,50.3,34.3,63.5,41.0,55.6,32.8,49.0,3.657000065,0.431085408,0.435299844,0.209930211,0.425962776,0.207948461,0.060929015,https://www.worldometers.info//img/flags/small/tn_bn-flag.gif
Bolivia,2017,67.7,86.0,62.5,68.8,86.3,72.9,67.3,5.822999954,0.833756566,1.227619052,0.47363025,0.558732927,0.225560725,0.060477726,
Bosnia and Herzegovina,2017,70.9,99.7,60.6,74.8,58.8,41.1,73.2,5.18200016,0.982409418,1.069335938,0.705186307,0.204403177,0.328867495,0.0,https://www.worldometers.info//img/flags/small/tn_bk-flag.gif
Botswana,2017,60.9,59.3,43.7,48.3,66.8,67.9,66.9,3.766000032,1.122094154,1.221554995,0.341755509,0.505196333,0.099348448,0.098583199,https://www.worldometers.info//img/flags/small/tn_bc-flag.gif
Brazil,2017,72.0,84.6,71.7,79.0,85.2,67.8,85.2,6.635000229,1.10735321,1.431306005,0.616552353,0.437453747,0.162349895,0.111092761,https://www.worldometers.info//img/flags/small/tn_br-flag.gif
Bulgaria,2017,73.9,100.0,67.3,78.2,82.1,70.1,65.9,4.714000225,1.161459088,1.434379458,0.70821768,0.289231718,0.113177694,0.011051531,https://www.worldometers.info//img/flags/small/tn_bu-flag.gif
Burkina Faso,2017,53.1,25.4,60.7,44.1,20.6,40.4,45.2,4.032000065,0.350227714,1.043280005,0.215844259,0.324367851,0.250864685,0.120328106,https://www.worldometers.info//img/flags/small/tn_uv-flag.gif
Cameroon,2017,54.0,45.6,59.8,37.6,48.8,54.5,55.4,4.695000172,0.564305365,0.946018219,0.132892117,0.430388749,0.236298457,0.051306631,https://www.worldometers.info//img/flags/small/tn_cm-flag.gif
Canada,2017,77.6,99.6,65.7,94.3,98.6,81.6,86.1,7.315999985,1.479204416,1.481348991,0.834557652,0.611100912,0.435539722,0.287371516,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif
Chad,2017,40.4,26.9,34.0,23.0,7.7,21.6,41.9,3.936000109,0.438012987,0.953855872,0.041134715,0.162342027,0.21611385,0.053581882,https://www.worldometers.info//img/flags/small/tn_cd-flag.gif
Chile,2017,76.9,100.0,71.7,87.5,94.0,66.5,89.4,6.65199995,1.25278461,1.284024954,0.819479704,0.376895279,0.326662421,0.082287982,https://www.worldometers.info//img/flags/small/tn_ci-flag.gif
China,2017,69.9,93.5,82.6,80.6,99.4,77.2,67.5,5.272999763,1.081165791,1.160837412,0.741415501,0.472787708,0.028806841,0.022794275,https://www.worldometers.info//img/flags/small/tn_ch-flag.gif
Colombia,2017,69.5,85.3,64.8,82.4,85.9,70.8,78.6,6.356999874,1.070622325,1.402182937,0.595027924,0.477487415,0.149014473,0.046668742,https://www.worldometers.info//img/flags/small/tn_co-flag.gif
Costa Rica,2017,71.9,95.8,53.4,87.8,81.1,76.9,74.4,7.078999996,1.109706283,1.416403651,0.759509265,0.58013165,0.214613229,0.100106589,https://www.worldometers.info//img/flags/small/tn_cs-flag.gif
Croatia,2017,79.5,100.0,71.1,84.9,97.5,62.1,86.4,5.293000221,1.222556233,0.967983007,0.701288521,0.255772293,0.248002976,0.04310311,https://www.worldometers.info//img/flags/small/tn_hr-flag.gif
Denmark,2017,84.5,99.4,74.0,95.3,96.4,85.7,90.9,7.521999836,1.482383013,1.551121593,0.792565525,0.626006722,0.355280489,0.400770068,https://www.worldometers.info//img/flags/small/tn_da-flag.gif
Dominican Republic,2017,71.5,94.3,74.8,65.3,87.3,71.3,67.3,5.230000019,1.079373837,1.402416706,0.574873745,0.552589834,0.18696785,0.113945253,
Ecuador,2017,71.4,88.4,59.2,78.2,97.5,77.5,74.3,6.007999897,1.000820398,1.286168814,0.685636222,0.455198199,0.150112465,0.140134647,https://www.worldometers.info//img/flags/small/tn_ec-flag.gif
El Salvador,2017,69.6,90.4,55.8,79.3,83.9,67.8,72.4,6.002999783,0.909784496,1.182125092,0.596018553,0.43245253,0.078257985,0.08998096,https://www.worldometers.info//img/flags/small/tn_es-flag.gif
Estonia,2017,79.6,100.0,66.1,87.8,96.0,76.0,82.5,5.611000061,1.32087934,1.4766711,0.695168316,0.47913143,0.098890811,0.183248922,https://www.worldometers.info//img/flags/small/tn_en-flag.gif
Ethiopia,2017,52.3,32.5,53.0,43.3,34.1,55.7,37.2,4.460000038,0.339233845,0.864669204,0.353409708,0.408842742,0.31265074,0.165455714,https://www.worldometers.info//img/flags/small/tn_et-flag.gif
Finland,2017,86.0,99.5,64.2,94.8,98.5,89.1,94.3,7.468999863,1.443571925,1.540246725,0.80915767,0.617950857,0.245482773,0.382611543,https://www.worldometers.info//img/flags/small/tn_fi-flag.gif
France,2017,81.0,99.4,72.9,92.8,99.7,86.6,89.3,6.441999912,1.430923462,1.387776852,0.844465852,0.470222116,0.129762307,0.172502428,https://www.worldometers.info//img/flags/small/tn_fr-flag.gif
Gabon,2017,61.8,90.3,51.2,48.2,59.6,45.9,61.0,4.465000153,1.198210239,1.155620217,0.356578588,0.312328577,0.043785378,0.076046787,https://www.worldometers.info//img/flags/small/tn_gb-flag.gif
Georgia,2017,73.4,81.3,51.9,73.3,99.2,59.8,80.3,4.285999775,0.950612664,0.570614934,0.649546981,0.309410036,0.054008815,0.251666635,https://www.worldometers.info//img/flags/small/tn_gg-flag.gif
Germany,2017,82.1,99.4,73.2,93.3,98.5,79.4,88.4,6.951000214,1.487923384,1.472520351,0.798950732,0.562511384,0.33626917,0.276731938,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif
Ghana,2017,60.7,50.0,67.5,52.9,78.3,52.5,55.9,4.119999886,0.667224824,0.873664737,0.295637727,0.423026294,0.256923944,0.02533637,https://www.worldometers.info//img/flags/small/tn_gh-flag.gif
Greece,2017,76.2,99.1,68.0,88.6,94.4,62.4,87.6,5.227000237,1.289487481,1.239414573,0.810198903,0.095731251,0.0,0.043289777,https://www.worldometers.info//img/flags/small/tn_gr-flag.gif
Guatemala,2017,58.7,72.6,42.2,69.8,69.7,47.4,68.5,6.453999996,0.872001946,1.255585194,0.54023999,0.531310618,0.283488393,0.077223279,https://www.worldometers.info//img/flags/small/tn_gt-flag.gif
Guinea,2017,52.1,46.7,57.2,30.3,20.1,27.0,50.8,3.506999969,0.24454993,0.791244686,0.194129139,0.348587513,0.264815092,0.110937618,https://www.worldometers.info//img/flags/small/tn_gv-flag.gif
Honduras,2017,62.8,64.4,54.2,68.9,65.1,66.0,71.3,5.181000233,0.730573118,1.143944979,0.58256948,0.34807986,0.236188874,0.073345453,https://www.worldometers.info//img/flags/small/tn_ho-flag.gif
Hungary,2017,79.0,98.7,70.5,82.9,91.2,63.0,86.6,5.323999882,1.286011934,1.343133092,0.687763453,0.175863519,0.078401662,0.036636937,https://www.worldometers.info//img/flags/small/tn_hu-flag.gif
Iceland,2017,77.4,99.8,54.3,95.4,96.6,87.2,59.8,7.504000187,1.48063302,1.610574007,0.833552122,0.627162635,0.475540221,0.153526559,https://www.worldometers.info//img/flags/small/tn_ic-flag.gif
India,2017,60.1,75.6,53.6,62.0,78.0,40.9,55.7,4.315000057,0.792221248,0.754372597,0.455427617,0.469987005,0.231538489,0.092226885,https://www.worldometers.info//img/flags/small/tn_in-flag.gif
Indonesia,2017,67.1,77.3,63.5,64.6,92.5,61.9,67.6,5.262000084,0.995538592,1.274444699,0.492345721,0.443323463,0.611704588,0.015317135,https://www.worldometers.info//img/flags/small/tn_id-flag.gif
Ireland,2017,79.1,99.9,68.0,94.3,99.9,76.1,84.6,6.977000237,1.535706639,1.558231115,0.809782624,0.573110342,0.427858323,0.298388153,https://www.worldometers.info//img/flags/small/tn_ei-flag.gif
Israel,2017,73.2,98.4,55.1,95.3,99.4,74.2,68.2,7.212999821,1.375382423,1.376289964,0.838404,0.405988604,0.330082655,0.0852421,https://www.worldometers.info//img/flags/small/tn_is-flag.gif
Italy,2017,77.2,97.6,69.0,93.0,95.9,70.3,80.8,5.964000225,1.395066619,1.444923282,0.853144348,0.256450713,0.172789648,0.028028091,https://www.worldometers.info//img/flags/small/tn_it-flag.gif
Jamaica,2017,68.9,91.0,58.2,78.7,82.0,71.9,69.9,5.31099987,0.925579309,1.368218064,0.641022384,0.474307239,0.233818337,0.055267781,https://www.worldometers.info//img/flags/small/tn_jm-flag.gif
Japan,2017,78.1,99.3,74.5,93.9,94.1,59.7,84.9,5.920000076,1.416915178,1.436337829,0.913475871,0.505625546,0.120572768,0.163760737,https://www.worldometers.info//img/flags/small/tn_ja-flag.gif
Jordan,2017,66.9,98.7,56.1,76.0,29.4,42.9,55.3,5.335999966,0.991012394,1.239088893,0.604590058,0.418421149,0.17217046,0.119803272,https://www.worldometers.info//img/flags/small/tn_jo-flag.gif
Kazakhstan,2017,72.1,98.5,53.4,78.8,96.1,78.8,72.7,5.818999767,1.28455627,1.384369016,0.606041551,0.437454283,0.201964423,0.119282886,https://www.worldometers.info//img/flags/small/tn_kz-flag.gif
Kenya,2017,59.9,44.4,55.6,48.2,69.8,68.4,45.9,4.552999973,0.560479462,1.067950726,0.30998835,0.452763766,0.444860309,0.064641319,https://www.worldometers.info//img/flags/small/tn_ke-flag.gif
Latvia,2017,79.3,100.0,66.8,83.1,98.0,70.5,89.1,5.849999905,1.260748625,1.404714942,0.638566971,0.325707912,0.153074786,0.073842727,https://www.worldometers.info//img/flags/small/tn_lg-flag.gif
Lebanon,2017,67.7,99.0,54.0,78.3,98.6,42.8,65.5,5.224999905,1.074987531,1.129624248,0.735081077,0.288515985,0.264450759,0.03751383,https://www.worldometers.info//img/flags/small/tn_le-flag.gif
Liberia,2017,49.8,28.5,46.2,30.9,42.9,39.0,52.3,3.532999992,0.119041793,0.872117937,0.229918197,0.332881182,0.266549885,0.038948249,https://www.worldometers.info//img/flags/small/tn_li-flag.gif
Lithuania,2017,75.6,100.0,62.0,84.2,99.2,71.4,78.5,5.90199995,1.314582348,1.473516107,0.62894994,0.234231785,0.010164657,0.011865643,https://www.worldometers.info//img/flags/small/tn_lh-flag.gif
Luxembourg,2017,76.7,99.8,58.3,95.9,96.8,79.3,81.6,6.862999916,1.741943598,1.457583666,0.845089495,0.596627891,0.283180982,0.318834424,https://www.worldometers.info//img/flags/small/tn_lu-flag.gif
Madagascar,2017,49.3,3.4,51.9,34.2,54.0,66.2,43.7,3.644000053,0.305808693,0.913020372,0.375223309,0.189196765,0.20873253,0.067231975,https://www.worldometers.info//img/flags/small/tn_ma-flag.gif
Malawi,2017,53.2,1.8,60.9,43.3,51.0,64.4,51.5,3.970000029,0.233442038,0.512568831,0.315089583,0.466914654,0.28717047,0.072711654,https://www.worldometers.info//img/flags/small/tn_mi-flag.gif
Malaysia,2017,68.5,98.7,48.0,80.3,90.6,54.1,76.2,6.084000111,1.29121542,1.284646034,0.618784428,0.402264982,0.41660893,0.065600708,https://www.worldometers.info//img/flags/small/tn_my-flag.gif
Mali,2017,56.9,40.0,60.8,36.9,18.7,50.3,59.0,4.190000057,0.476180494,1.281473398,0.169365674,0.306613743,0.183354199,0.104970247,https://www.worldometers.info//img/flags/small/tn_ml-flag.gif
Malta,2017,74.9,99.9,66.8,91.5,99.3,59.9,46.4,6.52699995,1.343279839,1.488411665,0.821944237,0.588767052,0.574730575,0.153066069,https://www.worldometers.info//img/flags/small/tn_mt-flag.gif
